ano,gini_patrimonio,gini_renda_total,gini_renda_trabalho,top01_patrimonio,top1_patrimonio,top5_patrimonio,top10_patrimonio,bottom50_patrimonio,top1_renda_total,top10_renda_total,palma_patrimonio,palma_renda,razao_top1_bottom50_patr,patrimonio_medio,patrimonio_mediano,desemprego,frac_com_edu,retorno_medio_agregado,renda_trabalho_agreg,renda_patrimonio_agreg,transferencia_total,patr_p5,patr_p10,patr_p25,patr_p50,patr_p75,patr_p90,patr_p95,patr_p99,patr_p99.9,rendatot_p5,rendatot_p10,rendatot_p25,rendatot_p50,rendatot_p75,rendatot_p90,rendatot_p95,rendatot_p99,rendatot_p99.9,frac_faixa1,frac_faixa2,frac_faixa3,frac_faixa4,vardec_retorno,vardec_trabalho,vardec_sucessao,gini_patrimonio_ic95,gini_renda_total_ic95,gini_renda_trabalho_ic95,top01_patrimonio_ic95,top1_patrimonio_ic95,top5_patrimonio_ic95,top10_patrimonio_ic95,bottom50_patrimonio_ic95,top1_renda_total_ic95,top10_renda_total_ic95,palma_patrimonio_ic95,palma_renda_ic95,razao_top1_bottom50_patr_ic95,patrimonio_medio_ic95,patrimonio_mediano_ic95,desemprego_ic95,frac_com_edu_ic95,retorno_medio_agregado_ic95,renda_trabalho_agreg_ic95,renda_patrimonio_agreg_ic95,transferencia_total_ic95,patr_p5_ic95,patr_p10_ic95,patr_p25_ic95,patr_p50_ic95,patr_p75_ic95,patr_p90_ic95,patr_p95_ic95,patr_p99_ic95,patr_p99.9_ic95,rendatot_p5_ic95,rendatot_p10_ic95,rendatot_p25_ic95,rendatot_p50_ic95,rendatot_p75_ic95,rendatot_p90_ic95,rendatot_p95_ic95,rendatot_p99_ic95,rendatot_p99.9_ic95,frac_faixa1_ic95,frac_faixa2_ic95,frac_faixa3_ic95,frac_faixa4_ic95,vardec_retorno_ic95,vardec_trabalho_ic95,vardec_sucessao_ic95
2026,0.8083807755983743,0.5591127900628633,0.5350641565202632,0.07859102757438835,0.2984470524197133,0.5705807445995668,0.7118871865123182,0.030729479188556428,0.12545373183493364,0.4267917890960204,42.612119322348576,4.698090673018087,9.738400376976209,341151.95604439516,59860.438722345134,0.07993333333333333,0.010266666666666672,0.033676934484247446,66964171.210074104,11490712.725574588,0.0,2764.535869417546,5477.602174917319,16713.46465095426,59860.438722345134,217743.3206780453,692486.5219244495,1355544.0834021592,4530451.381033074,16015187.608294668,6704.012592421978,10460.473131643896,21423.025624151105,44171.25744056313,88835.66258913498,170294.8916915113,246445.142110854,537398.4875351671,1509897.211480558,0.46326666666666666,0.4045666666666667,0.12316666666666669,0.009000000000000003,0.1395650310319985,0.3745858769950586,0.48584909197294296,0.0018351450124807797,0.00252846055639077,0.002840942002264639,0.0014764698447122142,0.005606849620637269,0.004665881583361727,0.0034196145797932382,0.0006482643719815607,0.0037667046589779044,0.0038382518035043867,1.0953959452280142,0.06723191037199304,0.24050160448707386,6071.233980581066,1821.9474161497765,0.0026941994282879233,0.0012250413019857251,0.0009312058599502737,900610.709722294,380550.67798385525,0.0,142.02714208490596,191.70598630041,495.66572298595713,1821.9474161497765,6088.912736673427,26736.256663206976,62199.94063818762,1.0169004914174461e-09,2.0338009828348923e-09,187.50556973417375,276.0540099513458,403.3613974262416,746.6482502432045,1504.0697033471483,3960.3404879954187,5259.874851318115,20917.95091241834,117890.47751501475,0.006056771700580282,0.0053165854337468765,0.0034401497338881755,1.2627498450595215e-18,0.03741633485544712,0.08147575268518206,0.11359884268365932
2027,0.8011661483846572,0.5620007074506902,0.5360328950068498,0.07693238790631779,0.291878892181018,0.5614963963104119,0.7026605492367709,0.03336775931302221,0.1271151140642264,0.4301492526169371,38.183299929028266,4.781901166540778,8.775064988171893,354890.12476460857,66409.37662639625,0.0862,0.020233333333333343,0.033832965536204816,66772122.60844827,12010149.277846027,0.0,3319.3032978211772,6424.502947322207,19310.60141516398,66409.37662639625,232858.81315383446,722382.3422716805,1403801.6424682871,4659361.735099783,16132171.320990484,6698.237152786329,10376.038792254401,21268.452133370443,43967.16071728449,88630.99298484833,170826.90985646035,249056.06294543564,544308.7982541744,1539851.476694059,0.4522333333333333,0.41443333333333326,0.12449999999999999,0.008833333333333335,0.15676482104482545,0.395269271487119,0.44796590746805554,0.0020184316221083178,0.0027060074648246565,0.002887919581433882,0.0024136446244519658,0.006224988401350182,0.005097421097415687,0.003784204092829378,0.0006857071336964412,0.0045516026171525305,0.004190972575975286,0.9877083618579625,0.07341844731834478,0.2552808252448155,6464.177576907235,1916.4809042391892,0.0025777205648294826,0.001548969767618519,0.0009796211911888943,835767.5175445961,417127.98723632144,0.0,169.46262318124047,234.09293800977431,538.8466205069564,1916.4809042391892,6187.192043040055,26277.971276342418,64269.688735904994,50373.06213541402,396620.843067911,217.65501375999767,314.1861961792854,375.54364928164324,653.5707590331394,1453.4641170301115,3878.1926006489593,5163.711648849411,19569.187523118555,127325.94219810022,0.00587299940861906,0.00526232348781614,0.0032807169107187326,0.00013564095042777516,0.03404281594923085,0.08257091142281256,0.10808835293482522
2028,0.7972924575286215,0.5657595797221358,0.5379258654123634,0.07631149270094076,0.2883843954323793,0.556598240889888,0.6973798494527313,0.03469388745106623,0.1308921457335024,0.43429063717444233,36.4684009433578,4.9017037789226325,8.340198856935206,369678.829962229,71419.58121004072,0.09006666666666668,0.03133333333333335,0.03401100703471481,66960562.470414884,12576262.601373818,0.0,3519.457215959027,7068.419457615305,20714.412813254097,71419.58121004072,248461.5913741667,751278.7332993745,1460116.630803543,4828627.014252392,16518142.397249026,6564.259476197588,10218.320016645777,21148.77593255357,43980.24927507416,89374.28340709991,171797.365091429,252500.85641140756,545781.8310243641,1593952.7500063404,0.43746666666666667,0.4265999999999999,0.12686666666666666,0.009066666666666669,0.19298545359843372,0.4224036521652036,0.38461089423636274,0.002149392650935655,0.002454973629835081,0.002544295736634906,0.0026717211973754174,0.006180371642454578,0.0050573731386991515,0.003992764895945589,0.0007040342061796517,0.0037383747177228994,0.0035649846203749612,0.9567452053869183,0.06834369011223453,0.2522478007637606,6708.167584407675,1980.3197651929847,0.0024968548000875628,0.002097835410598669,0.0008922878907967791,811804.1843908944,405670.376614495,0.0,166.43766125654415,259.97132978090866,552.3289518287994,1980.3197651929847,6183.704814523524,27314.77658698032,65435.30496629794,92767.66608341906,426151.5096837847,197.3288841033591,273.0960513486635,361.1400524239498,673.6181384367947,1534.213116179987,3919.9923291342648,5154.172401017138,17680.26343256698,117905.14462226769,0.005986964762309373,0.005350460407732466,0.0033944727125385142,0.00026469107273324185,0.037558479346237184,0.07543406972970702,0.10075942992808783
2029,0.7948731644537534,0.5673878562454883,0.5369677416853542,0.07480607403725198,0.2846492146970557,0.5533535546573343,0.6937863479235354,0.035455860248721494,0.13196540143212032,0.4355164069436857,35.609242477871106,4.9510765285241805,8.050082098832311,384973.28383891296,76373.97680945275,0.09036666666666668,0.04076666666666668,0.03419771489590579,67091688.1527694,13168540.092287453,0.0,3664.8088674513097,7502.215304601386,22066.595251926174,76373.97680945275,263521.85610411887,781626.8435014511,1525930.9784563682,4995128.81152482,16770831.77608916,6407.955789020965,10131.411764654036,21218.236370909955,44247.71364214423,90138.39885671317,173226.64623035397,254115.21596923648,548055.4617767696,1653530.057857417,0.4249666666666666,0.4343666666666666,0.1312333333333333,0.009433333333333337,0.16700729811677337,0.3551704050934915,0.4778222967897351,0.0022516265689193496,0.002160377461724916,0.0026328248656118753,0.0036580084541980736,0.007064768136882961,0.005619260552038408,0.004319069721938961,0.000681341928549162,0.0037865296658350684,0.0031954574122812257,0.8604942403182377,0.06507617283353204,0.25176496139773846,6489.703656411059,2161.636855432807,0.0035331069890633905,0.0021319719938065504,0.0008690121245724857,831236.3574851837,409322.1959134233,0.0,178.62050174318753,283.65430208772426,599.893750415768,2161.636855432807,6874.287322053248,28572.777763329574,70001.66167064545,105845.2156385356,553875.7998644616,181.94550737945536,240.97989748633483,374.4558708633365,681.2450758760464,1596.7621809498485,4081.201170132812,5652.48132586723,15582.118916710388,120430.84344374733,0.006186999936524923,0.005637300563199267,0.00342677472882966,0.00030716012273107417,0.04296153161178576,0.08256437571813252,0.11960488923655421
2030,0.7925078010938889,0.5626658080686618,0.5362030047468643,0.0713072537599338,0.27971309204222805,0.5493209467853876,0.6897585701258409,0.03591429955571832,0.13329912880405811,0.43784977142382003,34.99695210363088,4.977810844636773,7.8145201461414615,398960.1294537957,80876.79824718063,0.09050000000000001,0.051100000000000007,0.034348303599577766,67050702.82752242,13706533.303918863,0.0,3800.128989300756,7657.233668695635,23289.87173011545,80876.79824718063,275824.1014628581,813624.9933039995,1573198.344668703,5215642.752107979,16913105.2889534,6540.574871924953,10211.253176725282,21404.552826084546,44265.34688520307,90432.1615339458,174660.22756045012,257043.53161038487,554796.0077371012,1637929.9635019845,0.4162999999999999,0.43723333333333336,0.13673333333333335,0.009733333333333337,0.15528548161020075,0.33769570564706897,0.5070188127427303,0.002304857127769264,0.011209174780378061,0.0025441254754592713,0.005053879354991984,0.007920966190089905,0.00549689234982441,0.0042106040430092894,0.0007072738606083926,0.0037984526456417878,0.003309784728063384,0.8348459649580949,0.07268076050897539,0.2811168938295925,6532.848112061726,2331.096170591028,0.004107838651992626,0.002252162669448007,0.0008486008405902959,852889.9480122414,415426.8245313062,0.0,183.9303586967704,286.80488950107554,621.1813303436684,2331.096170591028,6691.6419501430755,26608.50625160189,71566.4515515807,132291.07682176205,651166.9729781002,232.88796935040256,253.5193061603014,410.6006668708928,669.0993564675148,1640.6284935442807,3567.700894550845,5692.778702340123,17370.287164695994,123838.62568044939,0.005655808008577116,0.005718336767537676,0.0034425234974726515,0.0004195670821197337,0.04397034349973398,0.08346711673923017,0.12039331558471439
2031,0.7909064694162189,0.5699546491741415,0.5359031380809298,0.06861745239893037,0.27632946330918196,0.5466296531593381,0.6869827101465876,0.036187408840882986,0.1333069799846823,0.43962349889140045,34.517527906424235,5.01953426517233,7.67252272643306,412448.6969697091,84412.83526045334,0.0887,0.05973333333333331,0.034392746117572794,67290911.64253972,14185616.674112083,0.0,3877.022179247912,7812.164549585488,24609.775341153294,84412.83526045334,284004.47843548114,844919.5220574061,1616672.694382603,5423800.909597772,17128004.38830066,6578.894783963414,10351.104922754543,21493.792835229124,44421.07507688191,90951.00692504177,175078.7044389041,261628.1142775517,570021.1540530899,1601945.5846028586,0.40859999999999996,0.43820000000000003,0.14286666666666664,0.010333333333333337,0.17563296671927492,0.35698754422537426,0.46737948905535087,0.0025896162075564355,0.0026463414140310824,0.002895987171863459,0.005622056049894377,0.008896685441040228,0.005838275667158471,0.004520773295893208,0.0007425269325067601,0.004119738459990934,0.00346754965094555,0.8665920224728724,0.08998917984764684,0.3269415967805574,6629.604794336511,2440.4399682694684,0.003205009383671956,0.0024844446144250414,0.0007955681402012036,813197.6166264031,398539.0068438682,0.0,172.90623326118143,291.99139402351875,643.378783936416,2440.4399682694684,6813.088159151957,25032.77423397441,69800.7972569442,143484.4687252512,784638.1803458254,177.40490771157644,243.23227559605135,395.07377652748045,681.2217886297544,1524.0209171672052,3892.5789099507842,5708.296232396789,21135.31199497216,132735.6807517778,0.005704355939951076,0.005110536296845896,0.0033446759110848934,0.0004023760845402739,0.04737639930381484,0.0720139838254676,0.11349622780671806
2032,0.7898453770631397,0.5714158839987357,0.5355454577546499,0.06821084887519226,0.27308181055791264,0.5444047012686389,0.6847336296506104,0.03628210846965599,0.13552822735086736,0.4425848310274565,34.239763585194865,5.080282577968745,7.562490559393555,426952.789158628,87332.30189932504,0.0869,0.07066666666666666,0.03465153431619792,67554100.5257209,14794802.303807607,0.0,3917.3481477547834,7974.483610517158,25873.032584202025,87332.30189932504,294949.0878777889,884038.4445734466,1665514.456541165,5612305.9352629995,17267832.835215736,6730.90400895815,10450.717459460775,21535.536074722804,44726.19606390816,91445.61537454145,175966.18172784694,264875.00063088344,582891.7312083609,1644081.0711490863,0.40139999999999987,0.4394666666666666,0.1481,0.011033333333333338,0.20048872190401187,0.38272477807718314,0.4167865000188049,0.0026098520854804324,0.002725501715717703,0.0027123270005317114,0.005825760666288951,0.008951854868703887,0.005726714159876503,0.004594433349649858,0.0007444168609432604,0.003962532865327806,0.0036315206123656045,0.8654249779473778,0.08720583608400755,0.322918272045377,7372.038851786307,2560.811959009659,0.0033149937882433426,0.002603175661553445,0.0008326578293304405,884633.5587494527,436187.9606200133,0.0,153.06099338318882,307.96421975538107,664.7584528762686,2560.811959009659,6466.33600030909,24622.517825739873,74331.70712991487,163941.45852337763,908099.4885083165,156.05315805189377,212.65846662871968,394.4917855954714,690.0281170735374,1495.2131661162916,4066.969308787796,6317.357044228193,23681.83387716864,134039.6199569283,0.005426668790420096,0.005015766858624579,0.0033109953221030835,0.0005188510147228464,0.041301585813616655,0.06539118624241974,0.09887724382598569
2033,0.7900531089445361,0.5735520116433666,0.5351608415778014,0.06795857653966292,0.273091223732686,0.5440264869645884,0.6844433108035536,0.03605025005288621,0.13756763021134252,0.4453475577462199,34.37305716555922,5.1484430281462386,7.6092207831978955,442717.29000248347,89689.94432353738,0.0875,0.08069999999999998,0.034879012515572426,67538091.38111956,15444810.372867096,0.0,4007.0419072550594,8042.432388484152,26709.938487026444,89689.94432353738,304942.0493124411,920670.8884610846,1724653.0761869126,5802643.2111362945,17764431.631497316,6767.438800313664,10444.590916857764,21443.89252638229,44782.94438776033,91744.70208237936,176808.76655810612,268158.8756063286,584466.3601454018,1694023.8435794732,0.3950666666666666,0.44050000000000006,0.15319999999999998,0.01123333333333334,0.18365971631778427,0.3488376668830785,0.4675026167991373,0.0026235710360314277,0.0027171054831931804,0.0027279813003596763,0.006057016587959322,0.008737662320954895,0.005863691564023123,0.004877770969812194,0.0006909472378977034,0.003727751012127039,0.003539269247184182,0.8289124653530857,0.09053639526822453,0.3189236098890046,7775.948135761643,2674.045915278362,0.002911323749948036,0.0026781171289400017,0.0008686279252816195,884587.1203437563,480499.12725648057,0.0,157.30602506610143,315.3534620141451,685.8643860651717,2674.045915278362,7069.080878975437,26028.416634751193,79377.49710711803,209435.67233304883,950025.2310681491,172.1209340200599,255.31038355460169,450.9803773718403,692.0421224483977,1470.685490315067,3771.7338671601387,6454.846995618293,21562.10749094514,134818.5340386251,0.005307649628825876,0.005271601383775648,0.003342915184540955,0.0005534416733710561,0.03665372567679091,0.07678806102573787,0.1086280216957405
2034,0.7903565397203829,0.567953553735636,0.5357868053011322,0.0679284308749228,0.27368504482626604,0.5440129347032994,0.6843715685411172,0.03587528039096602,0.13899206710633297,0.4483940344683777,34.47994483833847,5.246864238564863,7.6569996400060205,457541.01560414664,92119.9612822799,0.08876666666666667,0.09063333333333336,0.035098836582403675,67767019.2575696,16064051.128794143,0.0,4081.688066440526,8145.224900807468,27688.156172455514,92119.9612822799,313531.9183064118,958498.5508998777,1779605.767675718,6018034.2781727845,18276791.114016965,6732.9115760362465,10380.671208096715,21375.272635072724,45017.452667551486,92220.61899397458,178432.96708981475,272340.37600878184,599719.8887143803,1731086.5537864228,0.38910000000000006,0.4425333333333334,0.15649999999999997,0.011866666666666671,0.23363523581180218,0.40233213422691,0.3640326299612879,0.002470972422366477,0.016366356914397976,0.0028846338143318252,0.006313953320477691,0.008638244863197317,0.005532814259488716,0.004830507274594612,0.0006356751345779239,0.003932534335531372,0.003837936823867957,0.7682683640684596,0.10116318047480029,0.3050323873329003,7856.506880948151,2635.668310285777,0.00322497021044188,0.00308901828445314,0.0008642632044728416,905540.2747345064,498595.46278667054,0.0,161.39473046573147,295.15126804713043,647.1056544273381,2635.668310285777,7611.123497765216,26598.05684212281,78317.37749549074,223166.77459563527,997581.0150140807,211.58230509905138,263.87304188906705,432.03788333286815,695.3841564407519,1549.892061776542,3899.430398374155,7342.823781731862,27002.17483891054,140402.47710122933,0.005661426439805902,0.0055871427882593526,0.003231900049666526,0.0005848626390131361,0.04280839611544798,0.07149875532793701,0.10429815420295097
2035,0.7911621050884674,0.5673676193683533,0.5349271618586875,0.06766568226382892,0.2746540111575826,0.5444917356909368,0.6854542164580893,0.035545514572448984,0.13993292981730676,0.45066810213333625,34.86357676944961,5.302907238867153,7.752015790846091,474108.8819645344,94348.90817861265,0.0882,0.10050000000000002,0.035194440271655,67799764.80529997,16693781.740334267,0.0,4132.1400435371215,8224.27667294327,28447.158573265522,94348.90817861265,324490.03729187703,1002102.2127178137,1842028.1780284336,6256622.131332617,18801050.339547805,6755.584745232304,10489.735152662764,21417.724646719988,45059.068510908786,92717.16338548604,178817.76764551064,275457.4178334226,607048.7929056287,1749183.1743810186,0.3832333333333334,0.4456333333333333,0.15839999999999996,0.012733333333333341,0.2167191406436021,0.330568483174771,0.452712376181627,0.0024996529539466537,0.017139845806846063,0.002952290734392687,0.0065077936938457434,0.008546452299186342,0.005745773965165523,0.005039057038122643,0.0006208978850027206,0.004412052678170198,0.004205582495632103,0.7737273734254212,0.1083993548269958,0.2970375066345284,8109.702586152477,2628.433121188095,0.0029439773862199948,0.0028313566059196883,0.0009457761033039404,891993.2146957368,559988.3259628931,0.0,163.90561812295377,314.9590554883472,669.4348066283623,2628.433121188095,7308.66348424658,26956.69653407637,78845.23309602219,222761.2739627347,1045064.5915757823,227.92020673448744,279.59446462539177,374.9968983961088,677.8486319765947,1576.768706481728,3977.15819554687,6859.095996561778,27699.686042685622,149865.3161100847,0.005508305347451818,0.005586154800570667,0.003305990438826041,0.0006157561342432877,0.05478019488772576,0.07569388900163944,0.12446144047060796
2036,0.7915437749251009,0.5693930256776604,0.5351995844927977,0.06766482048280963,0.27443242561614256,0.5439170141297505,0.6855751439700964,0.0352678526220909,0.14160983810931158,0.4527100201367922,35.12146018762477,5.36864136850591,7.81196050080214,488983.3067071532,96261.85432377212,0.08906666666666668,0.11076666666666671,0.03520321627326787,67950120.46820423,17221564.722173877,0.0,4185.741179605767,8333.420840653967,29147.818606501995,96261.85432377212,335944.68309222604,1047369.83275815,1917934.9092088966,6526852.611076147,19184021.186683796,6663.447839216268,10408.03524180464,21473.022312375753,45337.06137917468,93215.5718562304,180447.1393384066,277687.24951543636,607369.6237865622,1798574.5276794445,0.37786666666666674,0.44699999999999995,0.16176666666666667,0.013366666666666674,0.15062071579968647,0.3149101288230579,0.5344691553772556,0.002663119509453783,0.01705706949101778,0.002856321656243823,0.006666849221459691,0.009201510156986293,0.006222793279424449,0.005128895426245565,0.000626495894506065,0.00464852658222035,0.004033600535530617,0.7664657360157424,0.10117826917217303,0.32378768201940594,8643.795991764438,2629.5105292837497,0.003238974115056751,0.002869977889831663,0.0008998173041952665,910600.6819825685,566774.1624278248,0.0,180.22699451481648,317.0795614322846,702.8559920324963,2629.5105292837497,8019.236707170268,27825.419799525756,75857.78271015329,271997.8684979214,1177667.607808726,257.08344264147956,258.330604928833,399.5645126791131,734.8308899817445,1667.9821841845378,3910.2341115699323,7006.152063615892,27020.330641835502,153140.9966459805,0.005575275380721678,0.005946459663424586,0.0033735297839303474,0.0006267727471965835,0.10955316519160355,0.08487477043316465,0.13427014259743184
