ano,gini_patrimonio,gini_renda_total,gini_renda_trabalho,top01_patrimonio,top1_patrimonio,top5_patrimonio,top10_patrimonio,bottom50_patrimonio,top1_renda_total,top10_renda_total,palma_patrimonio,palma_renda,razao_top1_bottom50_patr,patrimonio_medio,patrimonio_mediano,desemprego,frac_com_edu,retorno_medio_agregado,renda_trabalho_agreg,renda_patrimonio_agreg,transferencia_total,patr_p5,patr_p10,patr_p25,patr_p50,patr_p75,patr_p90,patr_p95,patr_p99,patr_p99.9,rendatot_p5,rendatot_p10,rendatot_p25,rendatot_p50,rendatot_p75,rendatot_p90,rendatot_p95,rendatot_p99,rendatot_p99.9,frac_faixa1,frac_faixa2,frac_faixa3,frac_faixa4,vardec_retorno,vardec_trabalho,vardec_sucessao,gini_patrimonio_ic95,gini_renda_total_ic95,gini_renda_trabalho_ic95,top01_patrimonio_ic95,top1_patrimonio_ic95,top5_patrimonio_ic95,top10_patrimonio_ic95,bottom50_patrimonio_ic95,top1_renda_total_ic95,top10_renda_total_ic95,palma_patrimonio_ic95,palma_renda_ic95,razao_top1_bottom50_patr_ic95,patrimonio_medio_ic95,patrimonio_mediano_ic95,desemprego_ic95,frac_com_edu_ic95,retorno_medio_agregado_ic95,renda_trabalho_agreg_ic95,renda_patrimonio_agreg_ic95,transferencia_total_ic95,patr_p5_ic95,patr_p10_ic95,patr_p25_ic95,patr_p50_ic95,patr_p75_ic95,patr_p90_ic95,patr_p95_ic95,patr_p99_ic95,patr_p99.9_ic95,rendatot_p5_ic95,rendatot_p10_ic95,rendatot_p25_ic95,rendatot_p50_ic95,rendatot_p75_ic95,rendatot_p90_ic95,rendatot_p95_ic95,rendatot_p99_ic95,rendatot_p99.9_ic95,frac_faixa1_ic95,frac_faixa2_ic95,frac_faixa3_ic95,frac_faixa4_ic95,vardec_retorno_ic95,vardec_trabalho_ic95,vardec_sucessao_ic95
2026,0.8083807755983743,0.5523362020457135,0.5350641565202632,0.07859102757438835,0.2984470524197133,0.5705807445995668,0.7118871865123182,0.030729479188556428,0.1297910065092067,0.4334618445619453,42.612119322348576,4.324414841332066,9.738400376976209,341151.95604439516,59860.438722345134,0.07993333333333333,0.010266666666666672,0.04369450924821716,66964171.210074104,14909853.172560524,1177826.4,2764.535869417546,5477.602174917319,16713.46465095426,59860.438722345134,217743.3206780453,692486.5219244495,1355544.0834021592,4530451.381033074,16015187.608294668,11100.079870704076,14715.724086436354,24375.111950304057,44521.6373919126,90828.84559057707,177379.8528215625,261017.87033979403,591340.285576856,1658246.3575914584,0.46326666666666666,0.4045666666666667,0.12316666666666669,0.009000000000000003,0.19169548176236642,0.3468703208641157,0.4614341973735181,0.0018351450124807797,0.0023598320981648695,0.002840942002264639,0.0014764698447122142,0.005606849620637269,0.004665881583361727,0.0034196145797932382,0.0006482643719815607,0.0037380283599908848,0.0037652327607834734,1.0953959452280142,0.054397746600508314,0.24050160448707386,6071.233980581066,1821.9474161497765,0.0026941994282879233,0.0012250413019857251,0.0009637608258445504,900610.709722294,433098.20954418916,56585.23909726108,142.02714208490596,191.70598630041,495.66572298595713,1821.9474161497765,6088.912736673427,26736.256663206976,62199.94063818762,1.0169004914174461e-09,2.0338009828348923e-09,175.51345977635424,238.43898560554263,184.99174522106577,761.8638443425152,1708.0007853778702,4024.7438955283133,5656.086324701176,20137.59551688748,117361.06331207232,0.006056771700580282,0.0053165854337468765,0.0034401497338881755,1.2627498450595215e-18,0.04704035569072045,0.07191808177348456,0.11392794282451474
2027,0.8018844745869838,0.5556406172505963,0.5360594642488042,0.07722413839498728,0.29283476659044605,0.5628317866631936,0.7039918827927113,0.033254025309184525,0.13228174229485237,0.43739757135482005,38.326705769816805,4.409359538084047,8.833339239070149,356103.8758478163,66359.07446151116,0.08563333333333335,0.020333333333333346,0.04380010982724907,66842705.10846867,15602798.93506341,1187200.8,3445.652936625179,6505.389140884496,19317.203686958976,66359.07446151116,232253.075571342,724083.3909256905,1409890.0357007906,4682260.481453434,16247253.035361,11077.135419679727,14680.871446523312,24285.159037422498,44391.288467042476,90990.20953419997,178331.12471783796,264398.3031236254,604980.4396358376,1694543.8086647901,0.45246666666666663,0.41426666666666656,0.12443333333333333,0.008833333333333335,0.22565266891423777,0.385771921519192,0.3885754095665701,0.002003117411245703,0.002672375251086507,0.002867008974897179,0.002421809228016766,0.00622445448505963,0.005101670717652708,0.003780429719895902,0.0006784834780650073,0.004487032956254059,0.004088023930373558,0.9869682128124927,0.06603787866201452,0.25472302861971485,6491.205935214332,1912.6444429402748,0.0024978272734764114,0.0015365192289705219,0.0010113522784048793,878334.6096945548,476301.49826278485,65729.77580765434,150.55147418066767,227.5297650938351,523.7057263885633,1912.6444429402748,6235.930350618832,26524.10971972094,64974.15931094242,49741.85480464371,393041.89195816824,165.51522235131233,271.54669046877524,189.42838723376153,634.2790476971742,1698.1119128468142,3908.4377002954557,5971.70420427135,19308.224717335317,128872.07882639146,0.005813337572496608,0.005175387529125554,0.003300755014058943,0.00013564095042777516,0.03935638609938001,0.07194914637692988,0.10273694970068374
2028,0.7986461543261013,0.5599143773461641,0.5374206427286837,0.07683125677392112,0.2903443224453817,0.5592628737710456,0.7000398473719244,0.03448276830347442,0.13629184185671336,0.442115165114536,36.74486522232246,4.516548903961669,8.445840119188272,372449.36805137194,71308.70768047587,0.08903333333333335,0.03183333333333335,0.0439527124861871,66915741.47857262,16376816.65600828,1186531.2,3763.5614954010202,7247.843397034423,20700.29881442116,71308.70768047587,247670.93167662545,754038.7219692491,1468580.3751064667,4917988.4938885,16752494.655424358,11033.190029902973,14591.755698871804,24229.30385742663,44238.32866575546,91367.3612608589,179533.51901777025,269700.36922551325,599165.3747478073,1772128.70712461,0.4376333333333334,0.42693333333333333,0.12633333333333333,0.009100000000000002,0.24878501930631322,0.3829549202997897,0.3682600603938971,0.002060041715233687,0.002388370528319278,0.00289034552665374,0.0027191351366702833,0.0062947506662975805,0.0050502825809446185,0.003942435752652164,0.0006726958338008309,0.003875961256886513,0.0035998337046550676,0.9353260490593714,0.06139571721359542,0.24987172053114512,6884.731680618576,1961.6812131518923,0.0030210866482771504,0.0020547701347141995,0.0009727295426336957,850740.8087340139,493752.05812925193,59544.97719146051,174.2712208905787,252.435025593998,560.9812541083287,1961.6812131518923,6240.309574338395,28432.914006926207,67002.10867937272,94818.65428200713,421671.2168096527,147.8555633176989,227.6742398662716,226.1304340146838,686.2644817647416,1726.7728484782376,4131.600152019989,5894.532455271383,19501.748875233774,125071.37941300188,0.006019879246761841,0.005470700703892592,0.003396553402959696,0.00027155304725092735,0.04651617032957149,0.058787045165975334,0.09505991829342889
2029,0.7969340788631244,0.5620119225773779,0.536233134266104,0.07642241494278296,0.28877657257720324,0.5574778618113754,0.6978082835326205,0.03509703493626403,0.13832801068569245,0.44536969088475953,36.04710313701475,4.56887502615034,8.253514272918393,389473.67091467226,76254.91132436422,0.08766666666666668,0.04173333333333335,0.044130845957447526,67079011.06957266,17197019.164407615,1198584.0,4069.39361709591,7800.298008067171,22067.180946442397,76254.91132436422,261673.33482037543,789643.3643313523,1538931.1306128397,5093573.968201863,17281674.112070818,11093.937630939592,14736.941144448114,24319.38589387994,44507.59031871833,91839.31492196284,180319.97517374656,273494.34320404707,619242.0047137119,1821310.8798377814,0.4257000000000001,0.4343666666666667,0.13046666666666665,0.009466666666666672,0.23165774962654498,0.3275433582952902,0.44079889207816475,0.0020123816609410976,0.002463188707895543,0.0032391615898279004,0.0030314542378204285,0.006280328941368841,0.004959531642803878,0.0036650224200667947,0.0006871732515020595,0.004014555663586166,0.0037321228270369893,0.8756969973237593,0.06558624177582259,0.2459002186294641,6881.152827889139,2236.443885665209,0.0030194053358857734,0.002047989703039249,0.0009832703773626347,847928.9920954157,523382.1429149918,65321.429336649264,173.53118033088958,258.54916265539293,586.4968361632883,2236.443885665209,6284.40008801199,28718.804005294292,68880.82686089133,104569.98531395492,468513.7133640502,175.89654484463716,239.9356121529108,219.10884391114394,674.5462301281207,1726.4552206313367,4122.334496593147,6391.738323536551,23612.053259424043,129554.18116066116,0.006206002626304727,0.005788789636524955,0.003215440183066888,0.0003727535728247818,0.05573101186601354,0.05975794236545258,0.10961296068566673
2030,0.7953765591210664,0.5653076680616455,0.5363873063983269,0.07513448373301033,0.2848587506494143,0.5552998520021306,0.6952603308675006,0.03539121416361656,0.14094612576685486,0.44909557497126695,35.5311165066848,4.6606659335160945,8.071619644626942,405093.2939319309,80471.22346122623,0.08853333333333334,0.05240000000000001,0.04434515315250504,67192903.8349951,17971332.977200013,1181844.0,4281.302298721417,8132.848251422141,23462.637160299633,80471.22346122623,273900.6389479228,821851.9874216977,1600653.074709128,5360665.296664211,17380236.80813047,11028.327789880936,14717.250013764226,24320.9451657196,44598.69164311119,92584.74769972311,181392.13772714516,278591.0904354312,621910.0287108658,1868428.6274619312,0.4181333333333333,0.4364666666666668,0.13536666666666666,0.010033333333333337,0.2251699118808165,0.30453843849486334,0.4702916496243202,0.002324305079440107,0.0024593044622732087,0.002966614801205449,0.004312399884903878,0.008065880354973135,0.006086901144691989,0.004391376262678702,0.0006723919943303641,0.004312004110678766,0.003778024193059192,0.8103269263264337,0.0661558450989592,0.27674706631747076,7139.618704770795,2413.745252876535,0.0028685158857801674,0.0021130753096772993,0.0009145104428463008,876703.2242704823,517827.1680538865,59549.46563790143,162.2602682066625,253.51500442408388,594.2276993683041,2413.745252876535,6682.153881938167,28131.5970525884,71629.00466010593,141286.64746293283,765627.2432211399,152.97855439381132,242.97112770974095,221.49331628398366,750.4144427416135,1781.2633777475953,4153.103537161341,6350.090274372351,23891.29342412922,140002.063558153,0.005762221708608328,0.005947746636638105,0.003060295520751141,0.00042531603755415376,0.05403226983700674,0.06820948362648095,0.11663933702004224
2031,0.7948348137008451,0.5681716124393279,0.5356136726580895,0.075278072729463,0.283949387092968,0.5546923373695477,0.6939202891238653,0.03547039517082183,0.14347416572647864,0.4531066362369271,35.26315593204488,4.738757220595181,8.030702204434041,420914.3384411784,83722.79009198076,0.08703333333333334,0.061666666666666675,0.04480257715894444,67299135.52663736,18863735.533204906,1165104.0,4490.31630546653,8381.738277997774,24665.705688694383,83722.79009198076,283130.1924059124,853334.8058957356,1647501.389555874,5561137.222725231,17917013.7176784,11177.325218073698,14747.965119472123,24352.453375690082,44813.48723154615,93125.60882613022,182168.67568268176,283730.93793089496,636453.3045572246,1917202.8216613706,0.4105666666666667,0.43739999999999996,0.14123333333333335,0.010800000000000004,0.25397357004654936,0.31953561408504927,0.42649081586840143,0.0024758901838257824,0.002390590508012179,0.002890015689259414,0.004550013223431897,0.008547693557556038,0.006511862222041273,0.004788146303282261,0.0006532827272600277,0.004411558300041419,0.003933074687467104,0.7941096792614937,0.06235802321392827,0.2984403361543917,7403.567750432314,2473.0123508206393,0.002951591962163997,0.002368712018872807,0.0009132066624597612,872621.5290548969,530868.8812406554,53892.32832616455,156.52491464408936,249.32446759031492,589.3086854404693,2473.0123508206393,6748.289136042813,28350.84520104761,70608.93197966013,127636.85808874044,832161.5748449386,188.58378761619477,256.0015865549312,216.93720434744768,778.4964935925613,1697.1570368218115,4195.542155858836,6290.190081100473,24117.37504858625,142520.0669697256,0.00579351700567273,0.005745235739388721,0.0035632234835707016,0.00040310701354332227,0.054476244690268835,0.05848373433096887,0.10510636639543865
2032,0.7946993167785446,0.5713112427808638,0.5352772924901104,0.07546803709366692,0.28459176894441973,0.554633957179021,0.6932960411311939,0.03543188222848989,0.14575592086816605,0.4567433091678513,35.13859468461511,4.830101473797469,8.056244227166106,437252.94370215083,86893.59609335096,0.08626666666666669,0.07263333333333333,0.045040111897452176,67504622.27389352,19699851.710616104,1163764.8,4660.807335607347,8596.341184090727,25921.227706617836,86893.59609335096,293620.0453722354,889683.8815769189,1690117.7436556665,5792533.211249541,18335843.700561896,11082.609859359529,14665.14407224337,24381.008232141216,44974.21943632268,93436.14344211394,185390.96230738523,287926.1421338059,644356.1981410851,1985070.0245380613,0.4040999999999999,0.43893333333333345,0.1456333333333333,0.011333333333333338,0.22067442105377047,0.24624263886055303,0.5330829400856766,0.0023549024880942563,0.0025403016481840147,0.0028500704748365526,0.004882357933303742,0.00833665167119372,0.0062453457665632844,0.0046210075526670205,0.0006350068393689855,0.004648026046663181,0.004001474818682804,0.7697891121681721,0.07235130483736507,0.2912966112960086,8074.7998494664425,2583.1665448014237,0.0027170477103901584,0.002391254166838284,0.0009324244820647429,937409.6451668097,570152.2258098366,58913.219609899876,159.5956314064005,247.5860217361876,627.6087438721139,2583.1665448014237,6762.022490770614,27843.94802478018,77844.94252220687,146034.2740664718,952604.4708408976,184.01362824653597,281.25271318097873,218.2770594735646,763.5105727474363,1700.0225487677444,4447.480770327866,6285.273012555796,26038.000533894377,148116.6324323814,0.005421580835754517,0.005296823401397664,0.00368122642398893,0.00043405104136888095,0.05681851422585301,0.05161579177912992,0.10332043508822708
2033,0.794567352901527,0.5743084874574282,0.5346924243435767,0.07581885220009026,0.2846020981570235,0.5533051410599384,0.6922400138725575,0.03528641093601528,0.1487437537234812,0.460288406026282,35.149422405782765,4.919007599839438,8.092018157921013,453229.90289934655,88962.18497496822,0.08676666666666669,0.08256666666666666,0.04554076793096007,67594923.27072692,20649916.02003873,1169791.2,4923.852968813648,8787.485112735352,26820.092228329482,88962.18497496822,302907.0224918746,932788.648319835,1750365.8337532745,5907975.339360391,18958888.728524644,11058.591354686974,14655.029203285729,24359.569368782966,45202.67203640301,94086.97102228674,187184.2431992139,292815.560567434,655574.1509334159,2067681.7924818771,0.3973333333333333,0.44049999999999995,0.1505,0.01166666666666667,0.25597256013081937,0.28969651053616413,0.45433092933301655,0.0023132462615131923,0.0023495846482925633,0.002629914242833195,0.005241470511556984,0.008292743898005979,0.006157981271691502,0.0045470653850277236,0.0006552790658663133,0.004354607290101896,0.0036803706103065727,0.7800796718117069,0.06737369347533947,0.297212655350345,8853.21475381227,2678.8607758349413,0.0025523864394715913,0.0022370807606123463,0.0009446772326592375,934663.5896089909,624865.2835017267,60251.483286082635,153.80160015136607,259.8015366041259,580.7469039392258,2678.8607758349413,6779.629830048297,28867.05109330224,83156.14991885921,195051.9308323591,1019104.4496193957,157.02419892516056,257.58096869238085,190.64071893697428,759.1690291511909,1657.9333420876476,4391.8825059954615,6538.051378574757,27134.548006173758,146057.3741324791,0.006067988538569805,0.006028137776915131,0.0037598731942422746,0.0005586036230305306,0.0552270793176198,0.060378799224801286,0.11037289797372303
2034,0.7949476995921573,0.5775904065549214,0.5350049822050315,0.07481475601556592,0.2851342540606751,0.5530312749589867,0.6923750158155841,0.03511100381226681,0.1510437155252514,0.4640805818618627,35.294242749364365,5.013048417043409,8.15487395194086,469598.6376729321,91370.01422103387,0.08776666666666669,0.09233333333333336,0.04587539136793564,67755591.92502819,21549806.749335825,1164434.4,4978.573125479252,8930.760425905364,27716.003410542613,91370.01422103387,313831.72229739424,974131.1868832635,1809395.5794854513,6201243.639904696,19384498.63640738,11020.851388584158,14693.527591384878,24447.77672012762,45343.85757449673,94799.42819371687,189404.36580646443,296135.83903560747,672701.4787144053,2119804.720187216,0.39120000000000016,0.4425,0.15383333333333332,0.012466666666666675,0.26888651157348176,0.26612843355611493,0.46498505487040337,0.0025141929554249524,0.002294454459299461,0.0027655172634034344,0.005867564667281661,0.008940294326943798,0.006465857701790146,0.004653829712453928,0.0006457587298764797,0.004703056452458534,0.0036166751353083233,0.7711855586509885,0.0642010559563328,0.33590300496708175,8572.592317932833,2908.058771759063,0.0034766656946693076,0.0028072106388515325,0.0009626533648218705,1004308.4554065212,628620.6945113613,50318.19917818869,143.97994314037882,257.24355836577985,629.3284781588168,2908.058771759063,6881.517624084132,28719.260301056245,79721.11591609666,230437.48388966802,1153356.493896549,199.06385300500668,267.0875188486446,226.7554278127985,799.5930266039833,1757.062347231051,4590.831334473841,6575.656758070773,27756.577902427005,155201.82251211177,0.00609417748120399,0.005838362154207134,0.003611718899632375,0.0005997723195088634,0.06415877929520405,0.058811407155225356,0.11662418350699523
2035,0.7958881314104619,0.5807127944604388,0.5344836737991164,0.07517523046500266,0.2876549726972552,0.5539102527180276,0.6938588454758974,0.03485042237439864,0.1534481087197776,0.46825710048884667,35.56239707701529,5.112782499933345,8.284053739797924,486180.81404851534,93188.566830348,0.08710000000000001,0.10183333333333336,0.046151715395685675,67797261.33299392,22448519.293604195,1124258.4,5133.029026704474,9176.938630634922,28497.3331375794,93188.566830348,322343.5099873675,1019850.9564226831,1875014.0620698396,6379224.973852282,20079839.18005157,11007.624976755087,14646.397947400246,24357.89688221365,45421.74235673194,95015.0093288824,190458.28449255374,300004.87053596746,679801.6599883261,2154009.1284943433,0.3841333333333333,0.4469333333333333,0.1558333333333333,0.013100000000000007,0.28880765696485966,0.2709235984516856,0.4402687445834547,0.0025157280126670424,0.0025096791429385108,0.0028700913675311314,0.00621977811894786,0.008683962692229858,0.006276386213938582,0.004742893017903186,0.0006343277244801175,0.004728354650251145,0.004200247029625862,0.7823235114958311,0.07157598012459754,0.3200414509030407,9140.686808094397,2879.2219862281354,0.0038568043945643705,0.002601054487019533,0.0010163184429340328,889837.2427255604,696420.8132130046,58260.852497992804,158.33977673973746,234.08103028611862,633.4589121920026,2879.2219862281354,7490.064402757221,31866.183152957103,82742.24605230182,248449.41734422668,1229101.0993294697,171.0842871570987,252.42230924149897,170.10037112087392,827.4758297821035,1829.7862664656896,4318.828141416331,6560.601526945313,28681.362501609732,153438.35933285262,0.0059217054807518335,0.005820321414147563,0.003461901455244468,0.0005819613290466535,0.05567070419726484,0.06295106173125044,0.1129748375795952
