ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2026,0.1229383510554572,0.2272326644310833,0.6498289845134596
2027,0.13279173191297095,0.22072033937050434,0.6464879287165246
2028,0.1844313710304547,0.31027517603096155,0.5052934529385836
2029,0.1433279274948596,0.21902290027092278,0.6376491722342175
2030,0.1455550905342969,0.20812767772517357,0.6463172317405295
2031,0.1687277849388831,0.23294805891976222,0.5983241561413546
2032,0.14467961142223382,0.18837546220977539,0.666944926367991
2033,0.15354776466008419,0.1846548013605837,0.6617974339793322
2034,0.13155029962509993,0.13565496626970652,0.7327947341051935
2035,0.2168937226183995,0.21355896473312697,0.5695473126484737
2036,0.17749410545427208,0.17822459060244616,0.6442813039432819
2037,0.2443552758491028,0.2245829519044194,0.5310617722464778
2038,0.22727468359182995,0.21882105470704405,0.553904261701126
2039,0.20026519740258067,0.1603952103065475,0.6393395922908719
2040,0.2111870063008137,0.19178278707942126,0.5970302066197651
2041,0.23705778801761032,0.20605217375355092,0.5568900382288388
2042,0.1988610885848628,0.15976000495956766,0.6413789064555697
2043,0.17447175510106666,0.14215935182325484,0.6833688930756784
2044,0.24169175066911827,0.17757524855290413,0.5807330007779775
2045,0.24207187910709246,0.17539700532991867,0.5825311155629891
2046,0.2046571565402349,0.12809397827299268,0.6672488651867725
2047,0.27963944133689456,0.16183097870525828,0.5585295799578471
2048,0.22028626384457037,0.1274011360471954,0.6523126001082342
2049,0.23950169011368524,0.13462713631041678,0.6258711735758983
2050,0.28247513687042136,0.14192806319194445,0.575596799937634
2051,0.24484749619150095,0.11987399353411214,0.635278510274387
2052,0.24023526976944215,0.1197465749995091,0.6400181552310487
2053,0.2867268533427735,0.13490953834056202,0.5783636083166642
2054,0.3303943451452555,0.1581278973968713,0.5114777574578733
2055,0.26042882385053445,0.11267464312902194,0.6268965330204437
2056,0.2508681218888124,0.1288919044440225,0.6202399736671652
2057,0.3314006896441871,0.1264169448347832,0.5421823655210297
2058,0.33152272686693557,0.14462417178028583,0.5238531013527785
2059,0.31951435982491455,0.12789233835446595,0.5525933018206195
2060,0.3517057570325681,0.138373236267531,0.5099210066999009
