classe,agente_id,ano,capital,n_im,vivo
0,3,0,0.0,0,True
0,3,1,0.0,0,True
0,3,2,0.0,0,True
0,3,3,0.0,0,True
0,3,4,0.0,0,True
0,3,5,0.0,0,True
0,3,6,0.0,0,True
0,3,7,0.0,0,True
0,3,8,0.0,0,True
0,3,9,0.0,0,True
0,3,10,0.0,0,True
0,3,11,0.0,0,True
0,3,12,0.0,0,True
0,3,13,0.0,0,True
0,3,14,0.0,0,True
0,3,15,0.0,0,True
0,3,16,0.0,0,True
0,3,17,0.0,0,True
0,3,18,0.0,0,True
0,3,19,0.0,0,True
0,3,20,0.0,0,True
0,3,21,0.0,0,True
0,3,22,0.0,1,True
0,3,23,913.6254231710276,1,True
0,3,24,1845.5233548054757,1,True
0,3,25,2796.059245072613,1,True
0,3,26,3765.605853145093,1,True
0,3,27,4754.543393379023,1,True
0,3,28,5763.259684417631,1,True
0,3,29,6792.150301277012,1,True
0,3,30,7841.6187304735795,1,True
0,3,31,8912.07652825408,1,True
0,3,32,10003.943481990189,1,True
0,3,33,11117.64777480102,1,True
0,3,34,12253.626153468069,1,True
0,3,35,13412.324099708458,1,True
0,3,36,14594.196004873655,1,True
0,3,37,15799.705348142155,1,True
0,3,38,17029.324878276027,1,True
0,3,39,18283.536799012574,1,True
0,3,40,19562.832958163854,1,True
0,3,41,20867.71504049816,1,True
0,3,42,22198.69476447915,1,True
0,3,43,23556.294082939763,1,True
0,3,44,24941.045387769587,1,True
0,3,45,26353.49171869601,1,True
0,3,46,27794.186976240955,1,True
0,3,47,29263.6961389368,1,True
0,3,48,30762.595484886566,1,True
0,3,49,32291.472817755326,1,True
0,3,50,33850.92769728146,1,True
0,3,51,0.0,1,True
0,3,52,0.0,1,True
0,3,53,0.0,1,True
0,3,54,0.0,1,True
0,3,55,0.0,1,True
0,3,56,0.0,1,True
0,3,57,0.0,1,True
0,3,58,0.0,1,True
0,3,59,0.0,1,True
0,3,60,0.0,1,True
0,3,61,0.0,1,True
0,3,62,0.0,1,True
0,3,63,0.0,1,True
0,3,64,0.0,1,True
0,3,65,0.0,1,True
0,3,66,0.0,1,True
0,3,67,0.0,1,True
0,3,68,0.0,0,False
0,3,69,0.0,0,False
0,3,70,0.0,0,False
0,3,71,0.0,0,False
0,3,72,0.0,0,False
0,3,73,0.0,0,False
0,3,74,0.0,0,False
0,3,75,0.0,0,False
0,3,76,0.0,0,False
0,3,77,0.0,0,False
0,3,78,0.0,0,False
0,3,79,0.0,0,False
0,3,80,0.0,0,False
0,3,81,0.0,0,False
0,3,82,0.0,0,False
0,3,83,0.0,0,False
0,3,84,0.0,0,False
0,3,85,0.0,0,False
0,3,86,0.0,0,False
0,3,87,0.0,0,False
0,3,88,0.0,0,False
0,3,89,0.0,0,False
0,3,90,0.0,0,False
0,3,91,0.0,0,False
0,3,92,0.0,0,False
0,3,93,0.0,0,False
0,3,94,0.0,0,False
0,3,95,0.0,0,False
0,3,96,0.0,0,False
0,3,97,0.0,0,False
0,3,98,0.0,0,False
0,3,99,0.0,0,False
0,3,100,0.0,0,False
0,9,0,0.0,0,True
0,9,1,0.0,0,True
0,9,2,0.0,0,True
0,9,3,0.0,0,True
0,9,4,0.0,0,True
0,9,5,0.0,0,True
0,9,6,0.0,0,True
0,9,7,0.0,0,True
0,9,8,0.0,0,True
0,9,9,0.0,0,True
0,9,10,0.0,1,True
