ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2
30,51334,0.9571,0.9026,0.4339,0.6949,0.9169,0.9833,0.2221,0.0664,410909.84184175945,3275696.687585248,86252768.49993262,3709880.5284760343,4183893.3417336945,4747536.763733752,5506577.825897889,6544677.9227604475,8024585.512599863,11290507.215805093,25226391.261199735,0.0,1166293.8377317905,1593000.958919142,2057546.220385372,2615756.579319865,3336216.537162119,4346039.566318613,5736470.878044473,8719910.3495679,21135076.4980654,82057729.23917182,410910.0,78137,78137,35635,0.6942,4763914.074092274,4140811.8546389355,625458.0261033537,2355.8066500166738,13589489.0,0.0041,6921,283010.33804774855,39365,25505,25486,82.04943567976706,3146591.042789328,9748,35618,8205,555.4961798815431,91281897.1801408,2221,17014,1944,3344.7275017304105
31,51128,0.9577,0.9051,0.4412,0.6998,0.919,0.9837,0.2193,0.0647,415905.9664785301,3348811.024609833,90239078.37891582,3808456.6015524827,4302213.296348341,4909908.443605067,5695737.446196632,6790810.747227525,8340329.994780533,11739073.808694474,25326459.087218042,0.0,1218936.4339864652,1650830.1830511654,2147524.3854035223,2743820.2092059474,3484987.683600299,4547565.780752168,6018173.859418375,9125004.695923049,21100000.54506861,85972312.07169822,415906.0,79309,79309,35590,0.6961,5000405.395636939,4357631.900422573,645147.2049649067,2373.709750539184,13730697.0,0.0041,6881,287760.45003523683,39237,25508,25486,82.60661740339363,3287153.2062255605,9694,35826,8176,569.9533426334684,96724718.75691502,2197,17975,1928,3401.314432386572
32,50944,0.9586,0.9079,0.4488,0.7066,0.9215,0.9843,0.2149,0.0628,421212.76497290155,3436789.9421007405,94315008.52693701,3891938.290757636,4441687.242782677,5088226.518876494,5946208.732745694,7115437.284171224,8678675.929249125,12137692.119541973,25326775.444148988,0.0,1262309.2142673072,1700157.013271636,2231325.8678331426,2879889.7374922717,3661700.5894961376,4768679.173002397,6319175.778270169,9511943.778398914,21011218.296407845,89360929.50746328,421213.0,80498,80498,35500,0.6968,5273118.7074483875,4609865.073159614,665569.7462858949,2316.11199712056,13212723.0,0.0039,6741,292481.154232759,39148,25514,25487,82.93157942505684,3450505.2132123653,9623,36017,8112,586.5998073528345,103073858.96898481,2173,18967,1901,3487.2929124728594
33,50762,0.9593,0.9107,0.4563,0.7138,0.924,0.9849,0.2101,0.061,426797.127365376,3519126.125909436,98360982.44012472,3990096.3690192387,4569575.338365178,5258967.832278021,6129118.73861658,7356103.813935695,9052253.959747689,12699856.37933582,25783485.14255014,0.0,1289902.9498859616,1763745.9606715427,2309831.6074780026,2998089.9237470604,3830872.137978932,5024179.758049191,6555649.071244016,9876589.309073213,20720416.06101093,93154938.32771398,426797.0,81705,81705,35390,0.6972,5565433.107651047,4880790.66234027,686959.9166972942,2317.4713865161953,13220083.0,0.0039,6659,297347.2464633363,39067,25519,25488,83.26309857956143,3611803.405034639,9547,36193,8029,602.1636675743543,110062459.69512741,2148,19993,1873,3538.693410120672
34,50590,0.96,0.9127,0.4636,0.7199,0.9255,0.9853,0.2056,0.0598,432659.9087234511,3566179.061885649,101981112.84168614,4087632.696643154,4684413.526159883,5413854.02543723,6315168.886119655,7609502.4175682515,9332796.145024726,13040379.4489533,26115817.41618676,0.0,1293960.8446124077,1815513.4974212903,2387603.397048567,3117543.7255150285,3991066.3978192923,5198352.655994107,6820316.116735966,10111242.75953533,20816011.948171377,95560658.49435963,432660.0,82930,82930,35301,0.6978,5807952.806676612,5100988.553273428,709240.6845312472,2276.431128062252,13175316.0,0.0038,6559,302451.5802382629,38977,25520,25488,83.41989529419247,3770661.539260172,9495,36374,7969,618.485605036483,116257434.33972982,2118,21036,1844,3551.2497369051
35,50369,0.9607,0.9145,0.4709,0.7246,0.927,0.9856,0.2024,0.0586,438762.8162569276,3622162.9125519567,106615561.31999347,4189558.128377313,4810367.15167267,5592928.210306741,6553025.631095327,7916587.487492522,9665851.758830423,13483719.161767026,26726416.389048364,0.0,1316041.4061757235,1866958.9910574525,2468893.9060869096,3234551.077661172,4177667.4883852266,5407860.036261734,7085611.063664604,10396894.81251315,20881798.95356287,99883433.06240281,438763.0,84173,84173,35223,0.6993,6065175.865774636,5334182.9459791295,733228.4248802708,2235.5050847652924,13375262.0,0.0039,6449,307960.4571884175,38851,25526,25488,83.93519552328105,3946397.9212514292,9427,36539,7917,634.4969659963335,122587077.11972174,2091,22108,1818,3559.807995873779
36,50118,0.9612,0.9164,0.4783,0.7296,0.9285,0.9859,0.199,0.0574,445128.26067423023,3700519.0542950192,110886527.163481,4281447.581208656,4952563.891225809,5745596.067531241,6795107.842412884,8186043.442221663,10023958.481981976,13878181.159213044,26968696.24310867,0.0,1341695.348097664,1935372.8884557178,2565573.271264578,3386313.522684793,4341772.25543372,5682402.326374064,7439787.66115502,10852450.687437503,21413759.631892707,103697765.09386255,445128.0,85435,85435,35141,0.7012,6354140.238947899,5597562.451912986,758799.8912706582,2222.1042357445453,13152480.0,0.0038,6266,313865.8811435316,38704,25531,25488,84.18007458527022,4137760.6911910144,9353,36682,7861,655.0804241643835,129843988.20334889,2061,23222,1792,3588.395017340848
37,49936,0.9621,0.9187,0.4857,0.7369,0.9305,0.9864,0.1935,0.0559,451793.5150068684,3787093.014334469,113991080.82506897,4408208.115310226,5114447.144348139,5949823.742094551,7064607.569239436,8509572.666568138,10363998.34050264,14295794.654892555,27219594.42732418,0.0,1398433.0313588963,1975008.5648206337,2649400.697234746,3510164.2993685254,4519365.147341045,5899419.065603214,7775756.78175619,11146367.059053957,21411036.706870895,105905270.4919929,451794.0,86716,86716,35054,0.702,6689342.3138801735,5906986.24505064,784558.764164843,2202.6953353083136,12934407.0,0.0037,6099,319560.5123748752,38617,25533,25488,83.84200019453547,4338495.087199799,9296,36796,7801,674.7875108837416,139084468.19027704,2023,24387,1765,3566.685777642226
38,49656,0.9627,0.9209,0.4929,0.7421,0.9322,0.9867,0.1902,0.0545,458712.1851226972,3877484.2929735575,119550964.64133735,4509967.750627786,5242884.035990329,6155516.750937184,7278484.376995462,8774773.806436084,10819031.284865573,14825885.484165661,27961125.14696304,0.0,1449329.6782956016,2024823.9478505445,2753006.8617326417,3633472.739592319,4707935.163090774,6132879.394168441,8106341.572790379,11609857.151805703,22038146.168261174,109718594.06500521,458712.0,88016,88016,34996,0.7048,7050049.600149881,6239223.368747113,813074.1841018068,2247.9526990382387,13358627.0,0.0038,5984,326228.6641950458,38438,25538,25488,83.91610950668785,4536852.809662567,9221,36884,7756,703.4257131746128,148073793.58678758,1997,25594,1752,3573.943980804317
39,49403,0.9626,0.9213,0.5002,0.7431,0.9325,0.9868,0.1894,0.0543,465737.3069248751,3957008.73756127,121994416.49404117,4576147.696720304,5368828.650849195,6324267.271329168,7505180.424565852,9055676.188712802,11151295.637057845,15257890.225410558,27994695.679431103,0.0,1476659.5387636658,2063673.3704986486,2828487.753440513,3753094.693514687,4886925.414944952,6365270.582030831,8389073.658348573,12052244.675063059,21979697.52575281,112852566.58287756,465737.0,89336,89191,34879,0.706,7247323.786291171,6408748.6077470025,840831.0455222666,2255.8669780964706,13032216.0,0.0037,5797,332558.3038654374,38311,25543,25488,82.4892066767697,4744989.418900947,9129,36838,7666,727.3575374351891,153836926.86174592,1963,26810,1725,3526.0430129026777
40,49097,0.9632,0.9239,0.5069,0.7487,0.9348,0.9872,0.1861,0.0524,472593.7813582616,4075300.219159637,129182602.49497713,4695167.315730832,5538713.794222366,6554060.698555984,7812876.047860604,9428147.978138326,11653684.621612534,15857670.201392706,29321162.690401305,0.0,1545797.0503859376,2119090.7324043983,2940915.29706182,3934397.4420143845,5123378.590737643,6700780.358561596,8822160.176261628,12611886.149425702,22828439.96296624,119729622.31716613,472594.0,90676,90186,34767,0.7081,7694288.945513027,6828453.031600071,868104.8285144952,2268.914601540215,12776011.0,0.0036,5643,339336.92046476837,38129,25546,25488,83.3773684585821,4976452.586900644,9025,36659,7571,754.3011724981709,164650253.38171571,1943,27981,1708,3528.87017681321
41,48824,0.964,0.9262,0.5132,0.7554,0.9368,0.9876,0.1814,0.0508,479430.2183763359,4180624.1144165024,135402730.7607034,4821157.88626693,5701028.521240531,6755575.447059649,8097294.075240865,9756932.427569073,12060626.81865611,16460772.20600131,29639194.16891499,0.0,1615960.9726192434,2199767.664358272,3046366.1815970982,4097127.9378306274,5351809.142160406,6984409.642923371,9194289.228802884,13121560.734165797,23406408.210725285,124872949.85037231,479430.0,92036,91136,34688,0.7105,8115901.4082137635,7223274.085445842,894915.4592402455,2288.13647232408,13101592.0,0.0037,5480,346072.7424769928,37950,25552,25490,83.89300158532464,5192625.068900835,8953,36459,7508,785.3859008546733,175235678.050889,1921,29125,1690,3360.279897896199
42,48458,0.9648,0.9286,0.5193,0.7627,0.9389,0.9879,0.1762,0.049,486286.46056963166,4323556.892409109,143281295.09352678,4948290.360415383,5869915.867901365,6986964.22115181,8373639.720015199,10130549.70927653,12587292.74050304,17058802.15759205,30547660.989210293,0.0,1685496.2402866015,2297476.4623072417,3158802.659736494,4263019.012338038,5597695.941118106,7327165.153377227,9635585.73754434,13662704.902865011,23811680.88648032,131609678.01410274,486286.0,93416,91931,34596,0.7139,8597919.989705732,7677719.584092477,922547.3731195428,2346.967506286208,13066322.0,0.0036,5349,353580.35366780154,37697,25557,25491,85.10561056191774,5422857.852154946,8865,36132,7428,820.7431526929814,187360471.20759058,1896,30242,1677,3248.859802524534
43,48133,0.9647,0.9295,0.5252,0.7646,0.9396,0.988,0.175,0.0484,493185.8797529383,4458570.506885008,148588069.8690341,5104906.311291115,6045916.882892239,7276044.881621823,8672963.334617997,10507124.001844715,13073806.923269577,17745547.181440447,31282603.120769903,0.0,1759857.9693284256,2402464.0739480196,3275579.171633511,4397051.890533531,5833445.2512668,7636369.662850012,10048564.61368834,14138390.005701639,24759485.97002775,138509513.7892294,493186.0,94817,92670,34504,0.7168,8903170.925852496,7955946.997336563,949526.0107764899,2302.0822605570825,12711745.0,0.0035,5152,360682.93649508303,37491,25560,25491,86.01087986180721,5676975.069185504,8768,35781,7345,856.7124908002454,194897675.9846865,1874,31329,1668,3131.1051092961166
44,47751,0.9653,0.9315,0.5309,0.7697,0.9412,0.9882,0.1715,0.047,500221.9885563814,4584147.572681963,156271412.72695023,5278552.451138333,6201771.614522282,7499244.470336923,8970194.615389777,10893343.805396628,13571719.84281426,18430884.664133303,31577256.966867268,0.0,1848144.2872908008,2498875.364371833,3404416.006184614,4539894.05416845,6055585.333166789,7977419.321111097,10527622.4343971,14736759.471620305,25441951.611591503,143153261.04387522,500222.0,96239,93382,34411,0.7206,9373963.36280579,8398005.839612622,978235.6335023771,2278.1103092086482,12958253.0,0.0035,4982,368436.7859036824,37237,25567,25492,87.13420174628213,5933925.764994698,8661,35430,7269,887.2126800145796,206423590.33460593,1853,32385,1650,3075.2041182820926
45,47439,0.9661,0.9334,0.5365,0.7763,0.9429,0.9885,0.1666,0.0456,507369.49908243096,4743171.502679236,160869069.41549698,5471515.803471504,6421726.369969772,7711327.997034042,9273339.339569723,11288329.57233179,14042960.67442189,18865544.30705127,32481302.443323415,0.0,1931788.820988506,2582172.9827487725,3526129.982786946,4752208.45448231,6288542.9885027055,8306454.6585602155,10818354.457287868,15143963.019785875,26006890.08222732,147600637.75014454,507369.0,97682,94032,34286,0.7227,9859558.808473846,8856086.07851759,1005690.8606361676,2218.1306799124773,12094231.0,0.0033,4711,375773.9521677715,37055,25576,25492,87.16374149443692,6223443.0535107115,8557,35040,7171,921.6431976518986,219238809.14544213,1827,33416,1623,2681.744940468586
46,47180,0.9661,0.9341,0.5419,0.778,0.9436,0.9887,0.1655,0.0451,514573.02512827714,4912588.936171982,167499347.73379683,5657456.462524394,6632016.69116421,7892570.045699406,9545529.222684544,11720078.442793148,14522642.6493287,19578649.224887148,32957969.231119,0.0,2035826.8822097129,2724440.0371368458,3671272.357272513,4915550.257346796,6546424.363177995,8657134.992936283,11347466.420988057,15824163.738314753,26905688.07205964,151573831.74152818,514573.0,99147,94681,34183,0.7245,10183085.449849043,9152654.203982372,1032647.0663876731,2215.820521002567,11820769.0,0.0032,4568,382954.4191633606,36907,25586,25492,89.25069326892263,6499682.247444455,8470,34688,7085,960.7702243978192,228093158.14751032,1803,34407,1606,2655.207891033868
47,46827,0.9664,0.9354,0.547,0.7819,0.9446,0.9888,0.1627,0.0442,521995.8939683724,5122883.116564829,174093031.13269162,5833638.3762656115,6822800.027376387,8222120.798456211,9911176.734432701,12214581.002604349,15104286.39858484,20361966.977416314,34171284.854168296,0.0,2157492.9774716063,2854725.23408128,3799666.1281604953,5154175.0477629285,6811946.577315039,9082597.483293138,11876824.207927428,16538887.5980729,27880044.89019067,156987310.78957564,521996.0,100634,95379,34104,0.7283,10638464.103391135,9577492.744087229,1063220.9274736666,2249.5681697614605,11802390.0,0.0031,4456,391557.81751930667,36654,25593,25492,92.26019182136957,6791817.5068787765,8394,34405,7028,1000.0108636582347,239912693.74558944,1779,35381,1584,2474.0277911099543
48,46523,0.9668,0.9368,0.552,0.7855,0.9457,0.989,0.1602,0.0433,529532.2857069307,5306973.913589947,181054320.61382145,6035880.911810365,7039006.0492312815,8461582.822185317,10225485.089407356,12715884.286726076,15739851.362540994,21172533.343452606,34837972.97006724,0.0,2257944.3072308614,2988086.1080279793,3930829.37652138,5353900.850174203,7108226.264659266,9469729.670190668,12419471.890842827,17284181.731403317,28734166.915960833,163573724.23756137,529532.0,102143,96068,34034,0.7316,11127689.094408764,10036562.333865326,1093461.462573209,2334.7020297733384,11835286.0,0.0031,4252,399612.2742662814,36455,25599,25495,94.93733787082873,7110946.789814624,8307,34141,6981,1042.1286686741623,252160692.38944435,1761,36328,1558,2317.930073652545
49,46163,0.9676,0.939,0.5568,0.7911,0.9477,0.9893,0.1565,0.0417,537191.2564677015,5479009.841208775,187761431.98308486,6267884.136869318,7289553.475019842,8707264.474796984,10550640.762870986,13124892.487496959,16392427.388679039,21986826.27399532,36325661.69252301,0.0,2369045.5077332337,3113981.6150781517,4101872.212498869,5532907.681898011,7362907.669249625,9869585.387704793,12960262.572257282,18025611.49674889,30012867.63271807,168959738.0067153,537191.0,103675,96654,33944,0.7353,11822058.476943536,10699636.229341287,1124746.738787107,2324.49118486216,11582826.0,0.003,4105,408220.34542516415,36222,25603,25495,98.36555571410197,7445178.2612728495,8201,33809,6908,1082.7245818507995,270055874.25198585,1740,37242,1541,2305.8067894628152
50,45785,0.968,0.94,0.5617,0.794,0.9485,0.9894,0.1545,0.0409,545067.2179111886,5726940.518980492,195122864.11020297,6537891.097569179,7512944.405155003,9007208.716268612,10957781.394232398,13594123.062621467,16988062.020128142,22746874.654636715,37036914.84240543,0.0,2478872.9791362667,3256441.3625456956,4267701.091074253,5745745.7166128205,7713024.978931312,10280637.09661474,13524369.237619502,18711448.845315944,31027955.465948638,178120954.1950385,545067.0,105230,97167,33834,0.739,12292763.375782218,11138357.124100164,1156766.3287709176,2360.077088862141,11108399.0,0.0028,3918,417313.69168187026,35980,25610,25496,101.21362718026704,7778198.146507289,8092,33422,6819,1129.0621202434215,283051981.9801157,1713,38135,1519,2180.1603051126895
51,45465,0.9688,0.9417,0.5665,0.8004,0.9501,0.9897,0.1497,0.0396,553049.400098051,5959748.940563831,200117227.0861989,6721464.172003627,7781418.257756251,9288990.975545965,11300858.839118581,13951152.074506477,17581936.97124524,23611500.310965717,37555775.59411708,0.0,2592992.4408538043,3376043.9702960313,4414093.975076138,5937946.802888796,7931728.64381941,10638046.757198224,14057811.457558434,19519112.539733008,31380019.0984369,180172104.49409413,553049.0,106808,97629,33722,0.7417,12932384.478374407,11747129.28970813,1187587.3723121658,2332.1836458886733,11241860.0,0.0028,3751,426124.757626138,35784,25618,25497,104.57996543144746,8123924.8122567395,7995,33012,6734,1173.646160508069,301169414.6550451,1686,38999,1491,2111.0962380528927
52,45128,0.9691,0.9427,0.5711,0.8032,0.9509,0.9898,0.1477,0.0388,561252.4958944815,6188253.848038279,207908962.1111075,7017276.845380368,8027881.173962407,9561434.214324994,11715424.252289446,14564858.304214638,18294466.087476328,24510924.64623146,38766223.96819472,0.0,2690741.8873843197,3535721.6840337897,4611252.520182468,6167027.612419412,8226770.044506248,11091763.85817676,14644125.95259096,20320679.38351549,32712111.20244947,185458862.27532825,561252.0,108410,98164,33629,0.7452,13452595.466488231,12234169.901933989,1220856.0097275723,2430.445173328479,10793382.0,0.0027,3620,435300.54575500404,35577,25626,25498,108.70677801680851,8508329.825147003,7897,32701,6673,1222.29510455289,317056686.8598363,1654,39837,1458,2074.0576437197046
53,44795,0.9696,0.9444,0.5753,0.8079,0.9525,0.99,0.1446,0.0376,569660.7953820674,6448993.028290047,212848671.33487383,7368747.134218156,8422079.692034597,9908187.119014537,12140921.4782456,15075149.220371246,18994318.340860225,25412485.652642984,40173025.365708604,0.0,2841983.2135861637,3752068.888204064,4871879.960987976,6433311.672001676,8613727.195802813,11509618.705372237,15319177.932681102,21229775.052082945,34011352.65115345,188740249.0029799,569661.0,110036,98661,33541,0.7488,14215287.451453278,12963109.758446816,1254678.0607922794,2500.36778581644,10225391.0,0.0025,3437,444924.25094305904,35360,25640,25499,112.2335299404857,8934322.295687957,7795,32368,6600,1278.4474631497756,336218437.548546,1640,40653,1442,2007.3710381970786
54,44441,0.9702,0.9459,0.5796,0.8124,0.9538,0.9902,0.1415,0.0364,578320.4616461619,6708219.79428863,217310923.24347422,7590605.680492124,8726818.869025508,10363905.788431507,12577399.789503776,15655005.598282268,19721777.118940964,26404576.320939492,41291719.875411846,0.0,2968788.775296049,3902162.729151138,5075883.8448603405,6682954.184510715,9019015.811112747,11956510.727958761,16012593.360845655,21897483.057332486,35251093.98071253,196523336.4108498,578320.0,111686,99107,33434,0.7523,14962232.511254953,13675013.209980804,1289701.086662455,2481.78538830591,9989876.0,0.0024,3239,455176.13959596405,35118,25649,25500,116.08440777989453,9353345.441035671,7704,32008,6513,1332.443088839879,356327069.848432,1619,41450,1421,1934.1161735896974
55,44162,0.9707,0.9472,0.5836,0.8161,0.9552,0.9905,0.1391,0.0353,587182.1958493446,6951103.251040135,220114398.37916648,7924366.217072971,9104168.716260493,10654366.169147214,13132830.078142457,16318525.85444744,20587186.921822816,27482591.109388433,43219658.7040623,0.0,3104437.480635377,4070429.127082647,5337674.991886448,6959749.076341351,9507091.088967131,12603141.141829746,16778992.639139544,22991624.349824384,36958751.477462046,195587764.15099186,587182.0,113361,99517,33338,0.7549,15701100.217537314,14380424.449597621,1323187.595315865,2511.8273761750243,10216818.0,0.0024,3093,464629.76751703594,34965,25655,25501,119.77344464850279,9840129.775717527,7599,31640,6437,1388.861333934042,376953105.018756,1598,42222,1400,1888.3768998803807
56,43833,0.9712,0.9484,0.5873,0.8196,0.9562,0.9906,0.1366,0.0344,596293.8740101036,7171601.301193656,222207127.36944887,8229642.574686259,9498595.813393023,11056008.386220083,13540331.032583667,16816903.395240292,21255629.07983494,28409800.470524233,44750459.12562616,0.0,3239525.0559201944,4230540.711062099,5533880.107491731,7211593.129441495,9730614.073030459,13129464.915882908,17327222.04328598,23943610.00874051,38171894.11990271,192651844.2901609,596294.0,115061,99875,33255,0.7587,16415470.105738185,15059369.691888602,1358676.1268167614,2575.712967178269,9895922.0,0.0023,2907,475015.3733313071,34754,25663,25501,124.0264996703157,10260760.918278525,7517,31349,6379,1440.576304928652,400704530.75375545,1562,42863,1375,1955.3151859418144
57,43506,0.9718,0.9497,0.5908,0.8238,0.9575,0.9908,0.1337,0.0333,605668.3276542773,7340942.166808515,223230445.5183292,8505650.787824508,9757841.681293875,11455518.58305027,13952756.9865054,17420082.62037822,21988879.029471043,29238166.39848424,45877584.891811326,0.0,3403277.634013087,4367604.807089323,5747439.120529103,7499137.530551567,10005619.791955335,13555771.398694552,17907379.117557187,24887973.982983142,38824825.26974567,193418095.31635875,605668.0,116786,100011,33140,0.7617,17200764.34988992,15811082.811254987,1392302.0989526028,2620.5603176734157,9654101.0,0.0022,2759,485413.16191912384,34574,25673,25502,128.8199695576132,10745540.603557734,7407,30940,6299,1498.3098312483003,427515776.98069954,1525,43398,1339,2022.2680104180513
58,43199,0.9726,0.9514,0.5943,0.8295,0.9592,0.9911,0.1297,0.0319,615179.63732081,7584115.530060729,231734351.1708363,8793182.051391331,10241343.925064366,11777945.118249245,14410318.161182307,18043310.790947776,22822882.982271247,30261942.57113947,46663060.6816581,0.0,3523508.1712619914,4528617.330063428,5950656.950933489,7796639.342700112,10381371.523397662,14048785.690136835,18579957.134014767,25913564.293726083,40145067.04829403,202850441.28302702,615180.0,118537,100277,33034,0.7647,18243929.714820288,16818578.24261296,1428004.548522393,2653.0763150687762,9231352.0,0.0021,2570,496610.24405463546,34371,25683,25502,132.6814710999471,11216112.50848942,7329,30560,6219,1545.2610257115384,459538119.0643101,1499,44034,1313,1932.7511604472516
59,42857,0.9729,0.9522,0.5969,0.8326,0.96,0.9911,0.1274,0.0312,625031.4545178512,7889173.714599394,227032805.0134245,9156425.358812582,10658782.720190434,12311881.969874382,14828146.538330834,18704107.61904804,23610198.988713752,31441866.061014954,47659571.08645413,0.0,3681827.171654302,4735095.155020482,6180618.477174624,8030440.425037007,10810945.918107323,14625301.804565487,19346650.92055519,27206140.05878177,40936633.12062059,199611216.69154158,625031.0,120315,100177,32924,0.7682,18934960.944061555,17476684.780086882,1460992.9770920686,2716.8131173961465,8990456.0,0.002,2387,508291.8942206038,34158,25695,25504,137.50865902468055,11745410.559121463,7241,30183,6141,1607.438641724659,486340787.9274761,1458,44299,1279,1901.7624647176096
60,42601,0.9737,0.954,0.6003,0.8384,0.9618,0.9915,0.1233,0.0297,634997.6815548675,8126857.455066036,235185935.78540432,9474232.66940058,10947338.86679001,12763430.636828348,15327060.888486119,19255047.23726171,24241996.031328306,32657072.237522963,49225134.24458722,0.0,3758659.180227927,4866871.548739732,6432839.660924498,8331649.566662989,11081561.5060987,15043984.88084259,20166497.948103845,28142963.793661103,42666130.51544371,197791980.45739797,634998.0,122119,100476,32837,0.7708,20127861.624099795,18632954.444401667,1497665.0090821078,2757.82938397958,9020857.0,0.002,2171,518910.5214298733,34024,25700,25504,140.49712497098315,12303845.982466571,7136,29800,6070,1671.6857640347584,521867714.45958614,1441,44976,1263,1846.1622903023547
61,42328,0.9742,0.9548,0.6032,0.8414,0.9626,0.9916,0.1212,0.029,645283.1136332187,8400542.311635582,228896805.09460524,9725900.291355243,11490507.492448336,13282633.216154303,15908024.080285376,20045792.55194649,25261727.995131288,34281519.962847315,51012665.41146994,0.0,3901109.793728217,5064750.732136165,6722244.283610076,8760210.753960222,11510641.419442141,15725119.026335884,21111468.892776936,29535130.521016758,44316981.56306608,194559971.21351647,645283.0,123950,100711,32753,0.7738,20969511.982419495,19437064.22145693,1535321.9537212977,2874.1927587347814,8020222.0,0.0017,2007,530614.1277230382,33848,25712,25504,145.11049602963948,12920211.687696513,7070,29533,6011,1723.0680816413987,551979701.8189139,1410,45466,1238,1864.7132888453416
62,42016,0.9749,0.9563,0.6058,0.8463,0.9642,0.9918,0.1178,0.0277,655735.5328447846,8579183.98367483,231562900.15948653,10072932.874265477,11839815.977230003,13825619.643838828,16477137.708781105,20689885.52966179,26411764.699558955,35725921.77477591,52930154.34514734,0.0,3990681.993909709,5241974.157027089,6914093.218847833,9041469.402051501,11889329.608245827,16311989.734720016,22123890.8226419,31019070.92747529,46420676.1685103,194463940.91018957,655736.0,125809,100612,32630,0.7766,22180735.545967147,20613311.38992626,1570231.8981002346,2807.7420593453385,8144880.0,0.0017,1853,543058.2090701249,33645,25730,25504,149.76214005275864,13510370.869524505,6993,29098,5915,1783.6366564998232,594482269.7856361,1378,45784,1211,1878.6956557517613
63,41739,0.9756,0.9578,0.609,0.8503,0.9657,0.9921,0.1154,0.0264,666369.1784132585,8900033.76958635,241964674.6628511,10460786.269886505,12269767.896436207,14305058.263260856,17091759.157703403,21589359.658679638,27591283.976385698,37114756.25736325,55042197.47793724,0.0,4100453.075452813,5520388.433505706,7244436.853274862,9494253.840916196,12498564.324024074,17058859.646121062,23142008.772886362,32121553.83564896,48638020.742398314,199628800.6782639,666369.0,127696,100849,32534,0.7795,23532592.200308885,21925374.606636755,1610068.8869833658,2851.293311234791,7391372.0,0.0016,1681,555198.9339763926,33488,25736,25505,153.95945115333168,14179035.776116481,6900,28727,5837,1852.7227152729017,640857895.7013229,1351,46386,1192,1968.173605128345
64,41465,0.9758,0.9581,0.6105,0.8515,0.966,0.9921,0.1145,0.0261,677337.0294867946,9156205.955065787,235940403.8282516,10830194.106955677,12812466.456024505,14961691.783715248,17751337.288761046,22377148.572096135,28543845.41724125,38347277.73260449,56529487.778791174,0.0,4204495.8492049975,5673408.4289522795,7504917.913157527,9832787.907037072,13063993.356033653,17655110.31136262,24039426.673471153,33386948.090063293,50192923.46408247,200598425.6283126,677337.0,129611,100528,32424,0.782,24088980.4587138,22449727.676924553,1642140.0434160978,2887.261626847311,6888745.0,0.0014,1548,567813.9247452088,33328,25744,25505,159.06759884597227,14872508.748344043,6812,28344,5755,1918.6090816451515,663104862.37203,1325,46440,1164,1874.554578720984
65,41295,0.976,0.9589,0.6127,0.8535,0.967,0.9923,0.1135,0.0252,688486.1436356978,9391087.769892456,250128672.81514147,11128749.57983981,13134992.71296776,15466377.299215956,18515871.63312758,23269535.32318404,29657528.518214576,40064084.673411205,58826818.56866562,0.0,4347407.885455877,5905519.510523571,7792600.812465695,10270980.528483827,13558722.762823395,18249434.818992138,25098487.679449096,34938518.96550882,52541614.92545246,209955940.54128838,688486.0,131555,100621,32352,0.7834,25206569.69030804,23531943.549490623,1677592.0634160927,2965.9225986740103,6291729.0,0.0013,1389,579645.6565830804,33233,25752,25505,162.85991504388434,15600708.559378272,6759,28100,5708,1979.5164866594569,703144084.4997753,1303,46769,1139,1836.3786144809992
66,41102,0.9765,0.96,0.6156,0.8562,0.9682,0.9925,0.112,0.0242,699931.9751870212,9613436.014903067,262986891.87223515,11460755.854500677,13669154.017555254,16135294.653230073,19085493.915746596,24059226.441473294,30811959.607181165,41687764.079461575,61381575.62243334,0.0,4429397.371101055,6059805.136381494,8064220.465845741,10695663.238518557,14007689.273647103,18915681.19790066,26061135.166836806,36603643.25866982,55140984.03990366,219521466.90728873,699932.0,133528,100843,32266,0.785,26488431.430728078,24774118.894261938,1717270.210057534,2957.6735913916386,5995129.0,0.0012,1275,591559.4718955235,33145,25763,25505,165.01392351686326,16346197.078162903,6668,27735,5630,2055.5762800631333,744859447.5194865,1289,47345,1131,1858.1688487079348
