ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2
10,52420,0.9236,0.8457,0.1119,0.6001,0.8643,0.9677,0.2642,0.1034,268877.09314934694,1318076.7284042398,32684106.760319833,1420235.5805504029,1547336.6038208208,1704255.110008291,1936311.748702825,2295519.3033914063,3030673.892464932,5435135.315366899,12989954.23640518,0.0,939269.5277402948,1043365.0420824058,1158255.4725063907,1316555.572658963,1530574.9761507886,1878839.4387164684,2619549.6758623826,4949665.0614119265,12531301.036875943,32041729.392911326,268877.0,58023,41926,36764,0.7013,1678441.0832427035,1466036.4305356569,215050.38167454247,2645.728967495972,9452572.0,0.0037,8242,178165.19494156874,39624,25485,25485,65.08167769688559,1055926.2495626349,10272,11846,8995,429.82066355133526,27764575.857254524,2524,4595,2284,1999.9721931665922
11,52527,0.9233,0.8514,0.1141,0.6044,0.8693,0.9698,0.265,0.1005,268464.5921974652,1400060.1200085026,34656701.763026804,1515849.7832504236,1645317.9663545748,1816938.0743315197,2059152.2055422957,2433548.1670972425,3197079.7506821053,5676214.851772998,13681226.22652834,0.0,1018584.7549862799,1132615.688251808,1261937.1887467334,1427757.6929611291,1658764.3296834007,2001650.5192722164,2780514.5864484236,5127740.998912449,13129332.793119986,34112549.724132545,268465.0,58893,41936,36662,0.698,1765081.9155201619,1553336.3480846374,214334.17363247284,2588.606196948454,9423102.0,0.0036,8040,178000.3226134307,39725,25485,25485,65.67433131597514,1118555.6392697399,10289,11856,8920,442.32884552694446,29500428.168827165,2513,4595,2257,2126.55054690664
12,52631,0.935,0.8441,0.232,0.5982,0.8623,0.9684,0.2641,0.1062,308734.2810270849,1592291.8260054209,36678298.55864078,1717426.0500712357,1863797.1876911984,2046512.1615778524,2303273.652338531,2700591.0797276096,3481604.81825387,5985188.639617143,14568778.060958976,0.0,838681.7768471572,962461.0453457653,1098787.5909207212,1276333.9020609695,1531499.001344889,1887281.3387309827,2684028.3155511026,5058035.255402302,13476615.431461992,35797018.545326196,308734.0,59776,51806,36557,0.6946,1905503.1452865019,1604167.9269620061,303894.8179378914,2559.5996133958356,9364341.0,0.0035,7790,203892.347367608,39825,25486,25485,66.25535851539996,1264167.5417468494,10304,19505,8842,414.5883570507604,31631711.013389032,2502,6815,2230,2179.4674019440736
13,52689,0.9446,0.8357,0.3071,0.5898,0.8539,0.9668,0.2641,0.1129,355044.4231811476,1835109.8708315045,39035601.287246235,1972978.2862895115,2130246.530892136,2326228.3487583986,2603383.915570625,3023461.7981036603,3820432.632191496,6329698.856967771,15312192.17235705,0.0,605758.5909816544,738116.8918755401,891880.3066236973,1083417.8158557157,1345401.5147117493,1725020.7532914863,2548081.2216063365,4872031.825340705,13837028.286042651,37566786.16345481,355044.0,60672,60235,36460,0.692,2055347.2130934217,1651996.0729905474,405893.0864187293,2541.946315855196,9272443.0,0.0034,7569,233827.21418452138,39873,25486,25485,67.0523339887292,1441213.7349568994,10320,25777,8772,387.5283820730435,33692897.05718937,2496,8972,2203,2202.7798717177725
14,52755,0.9455,0.8406,0.3204,0.5957,0.8587,0.9685,0.263,0.1098,357419.07003239694,1898998.8657599739,40602686.252654776,2054377.0038018154,2217619.7589860577,2434838.7728636055,2733876.195948572,3165032.74939663,4007778.494356545,6534857.711935168,15876555.801771041,0.0,614309.9298940558,744440.2651414084,920505.6838427633,1126418.3429383768,1404749.9579448577,1816606.0416514536,2629831.849889151,4990768.602354114,14279466.562244717,39173009.97252519,357419.0,61582,61582,36383,0.6897,2149763.788681826,1735021.4537745975,417222.6551177153,2480.320210486539,9199440.0,0.0034,7286,235529.69928657223,39941,25486,25485,67.47871820026374,1503273.684790866,10327,26672,8718,393.16692344809735,35576674.55161621,2487,9424,2180,2280.051429392988
15,52746,0.9453,0.8486,0.3223,0.6053,0.8664,0.9708,0.2611,0.1044,351659.9258642174,1938847.8848982686,42546133.97343383,2113089.051658148,2287432.6573594995,2516958.702063326,2840562.4438087735,3294436.6574737662,4168636.4463559166,6708853.138844358,16517861.244900776,0.0,671956.6555388836,817986.3577295125,1003341.4626125025,1230506.1491118222,1526449.7229302858,1972162.1000658036,2810868.6274878173,5172760.876168232,15053287.944155773,41104956.00926622,351660.0,62505,61594,36279,0.6878,2255774.9922995633,1847606.0655263609,410649.9350411521,2481.008267950072,8985723.0,0.0032,7023,232339.36109631087,39956,25486,25485,68.16218764824826,1548735.910229729,10317,26684,8639,407.2766301169343,37897876.20138635,2473,9424,2155,2379.52750226391
16,52776,0.945,0.855,0.3244,0.6131,0.8726,0.9727,0.2596,0.1001,346845.24101699376,1992102.4756866368,44761474.24012052,2171777.2633004445,2364326.0113086067,2616239.121014937,2949156.340984917,3426349.3412639718,4329563.483424775,6845696.575604834,17102452.01650998,0.0,733340.5741119228,886381.2189114419,1091225.27179886,1339219.9629094827,1648837.0277628377,2107767.5695576337,2992776.2695030966,5298966.32005701,15708569.12678779,43500558.415316135,346845.0,63442,61606,36172,0.6854,2350838.9999239207,1948438.4472808612,404876.2300684576,2475.677425398442,8613756.0,0.0031,6718,229512.96821777546,40014,25486,25485,68.62449511710011,1601111.7538532687,10304,26696,8559,420.5091716029616,40026969.74695471,2458,9424,2128,2498.5632504453
17,52785,0.945,0.8618,0.3265,0.6216,0.8793,0.9747,0.2577,0.0954,342900.03315707156,2045030.7225943606,47674353.212164946,2242116.480705071,2444870.0691035814,2725800.828527657,3068159.715208734,3573235.6962792627,4503596.567267368,7104740.028220639,17925147.816102296,0.0,786677.10545865,959576.9509687771,1174485.073580359,1445917.0873007742,1783088.8848629165,2253778.3463813337,3152846.301843098,5527440.0728146015,16268698.843483815,46242920.47125906,342900.0,64393,61621,36062,0.6832,2472709.9961249316,2074903.423234953,400300.1410092243,2493.568119245994,8557304.0,0.003,6490,227369.17011601845,40056,25486,25485,69.21656815781597,1660001.7469898928,10285,26711,8477,435.3047651094729,42692872.21746982,2444,9424,2100,2612.22226197207
18,52734,0.9449,0.8683,0.3285,0.6291,0.8857,0.9765,0.2566,0.0908,339740.8203050599,2116764.6638324205,50774317.62264995,2324916.531030966,2553600.459933716,2853671.829109513,3212050.412338054,3751129.8456635643,4719703.32738558,7382433.630553316,18785245.50146877,0.0,862926.0531756178,1048930.571391589,1276681.2285446082,1566963.9709135017,1927606.8448414279,2427733.804166759,3362969.2923072516,5865824.575355643,17344108.84807243,49231239.33376355,339741.0,65358,61632,35948,0.6817,2612700.386100476,2218118.80511765,397066.52704216354,2484.946059337337,8284629.0,0.0029,6226,226042.4944552464,40039,25486,25485,69.54819830070933,1727498.80612975,10254,26722,8382,450.8780415100804,45478842.26426646,2441,9424,2081,2751.4644212146272
19,52664,0.9447,0.8735,0.3298,0.6361,0.8906,0.9777,0.2544,0.0871,337351.38488517003,2178928.25373243,53314693.178251594,2392652.1924430537,2656506.0736397826,2960216.7678231234,3351610.680860455,3916769.885903208,4915168.202043018,7542023.016017439,19431885.835405447,0.0,923812.831130133,1137786.2579072241,1371977.5794446326,1687060.6157851466,2076904.3765785664,2587304.47781318,3567741.9191103852,6117405.824028643,17875845.860985138,51753838.85791722,337351.0,66338,61646,35934,0.6823,2738570.503922798,2346184.2938371394,394887.655184399,2501.4450987403648,10083077.0,0.0034,6470,225191.11243452973,40018,25486,25485,70.60651291281226,1800153.7272760607,10218,26736,8375,462.7463814591483,48113018.243772015,2428,9424,2074,2842.847130328317
