ano,gini_total_mean,gini_total_p025,gini_total_p500,gini_total_p975,gini_financeiro_mean,gini_financeiro_p025,gini_financeiro_p500,gini_financeiro_p975,share_top1_mean,share_top1_p025,share_top1_p500,share_top1_p975,share_top10_mean,share_top10_p025,share_top10_p500,share_top10_p975,share_top50_mean,share_top50_p025,share_top50_p500,share_top50_p975,taxa_propriedade_mean,taxa_propriedade_p025,taxa_propriedade_p500,taxa_propriedade_p975,preco_imovel_mean,preco_imovel_p025,preco_imovel_p500,preco_imovel_p975,populacao_mean,populacao_p025,populacao_p500,populacao_p975,riqueza_media_mean,riqueza_media_p025,riqueza_media_p500,riqueza_media_p975,riqueza_media_c0_mean,riqueza_media_c0_p025,riqueza_media_c0_p500,riqueza_media_c0_p975,riqueza_media_c1_mean,riqueza_media_c1_p025,riqueza_media_c1_p500,riqueza_media_c1_p975,riqueza_media_c2_mean,riqueza_media_c2_p025,riqueza_media_c2_p500,riqueza_media_c2_p975,frac_rent_renda_mean,frac_rent_renda_p025,frac_rent_renda_p500,frac_rent_renda_p975,divida_media_mean,divida_media_p025,divida_media_p500,divida_media_p975
10,0.84974,0.840825,0.84785,0.8637525,0.927215,0.923395,0.9267000000000001,0.9336,0.62086,0.6030925,0.62075,0.6464825000000001,0.86762,0.8589625,0.8656999999999999,0.8803099999999999,0.96839,0.9662275,0.9681,0.9714050000000001,0.700155,0.6969650000000001,0.7004,0.7029,268918.4,268102.7,268865.0,270188.45,52562.75,52394.85,52556.5,52785.525,1711461.9058887705,1599449.6155172524,1687269.875084887,1900516.5442904425,178005.59081932914,177259.30752878264,177921.6051925537,179409.614516799,1033939.9252526409,1016379.1797126705,1032905.9813789603,1053316.2352861087,28737415.109403174,26806785.897200435,28416697.25318936,31717172.089801136,0.0037749999999999997,0.0036,0.0038,0.0039,2676.5826812330406,2558.9991341130185,2658.60651474267,2831.782874492309
11,0.855345,0.846925,0.85305,0.8687575000000001,0.9269400000000001,0.9232475,0.92615,0.9333525,0.62608,0.607915,0.62305,0.651325,0.8725350000000001,0.8641725,0.8706499999999999,0.88471,0.9705600000000001,0.96868,0.9702500000000001,0.9734050000000001,0.6965,0.6932125,0.6963,0.6990525,268524.45,267615.925,268475.5,269875.65,52694.4,52489.7,52699.0,52936.275,1800086.532341164,1683446.3049191658,1770210.1426847503,1998634.0707178598,177741.00631022628,176979.53531408677,177599.91612891533,179281.10833673016,1096541.1039306477,1077038.992877831,1095446.9466967443,1116069.9644564698,30446803.836063564,28475088.54228608,30054142.092408456,33622108.78575818,0.0036999999999999997,0.0036,0.0037,0.0038524999999999996,2641.95310928745,2538.461615874809,2622.167036975032,2808.597788950703
12,0.8471299999999999,0.8374174999999999,0.8451500000000001,0.861805,0.938195,0.9346325000000001,0.93755,0.9437525,0.617905,0.59877,0.61455,0.64503,0.86456,0.854865,0.86265,0.877915,0.968955,0.96679,0.9686,0.9720575,0.69326,0.6902075000000001,0.6931499999999999,0.6959,308803.05,307757.925,308746.0,310357.4,52789.05,52578.75,52800.5,53001.7,1930080.3633391042,1800324.5970371051,1905999.753902419,2149071.04024027,203619.14759280038,202687.78200541006,203361.57174396946,205325.25816434345,1240294.0285045898,1218811.484644116,1238401.9531737005,1261886.8897577797,32308396.53188914,30180502.09893228,31951076.636521734,35684259.58647591,0.003635,0.0035,0.00365,0.0037,2613.2745227008127,2513.1469332282745,2595.4833823055988,2782.1567268948857
13,0.838595,0.828105,0.8370500000000001,0.8546625,0.94758,0.9446475,0.9468,0.9525,0.608545,0.590465,0.60285,0.6381249999999999,0.8560800000000001,0.8456575,0.8542000000000001,0.87081,0.9673700000000001,0.965075,0.96715,0.970705,0.69041,0.6878375,0.6904,0.6933575000000001,355123.55,353922.3,355058.0,356911.4,52849.45,52611.75,52869.5,53046.15,2077244.098323958,1921982.1323085225,2059107.3831606843,2321454.8840449406,233383.8248634867,232332.3056890596,233143.1868561866,235190.182073981,1416138.4895504094,1392851.2766531447,1415669.1035756115,1439858.5244573357,34325177.46454018,31903915.252674844,33737654.34810835,38152492.221202895,0.003565,0.0034475,0.00355,0.0037,2592.315946257702,2480.24936692331,2564.9310035395024,2766.509932324564
14,0.843655,0.83221,0.84245,0.860045,0.9486800000000001,0.945595,0.94815,0.953505,0.61442,0.5970300000000001,0.60915,0.6445275,0.8610900000000001,0.850285,0.85975,0.87602,0.969055,0.9665275,0.96885,0.9723575,0.68785,0.6848175,0.6877,0.691015,357914.35,355069.95,357798.0,360301.675,52893.65,52648.125,52901.5,53132.225,2177418.2474875115,2002774.8989939294,2156814.24443243,2446116.711216946,235441.0878113225,233610.0325009951,235208.27605611316,237263.61365087554,1476395.1684283784,1453097.6593129025,1472989.5670940944,1503625.8172646174,36288672.822214894,33508978.502731476,35555188.703426056,40569463.6473051,0.003515,0.0034,0.0035,0.0036525,2538.166174230829,2420.945125662988,2523.8982532077816,2712.9237153244403
15,0.850905,0.8394125,0.8502,0.86684,0.9486650000000001,0.945195,0.9482,0.9532525000000001,0.623285,0.6058225,0.6188,0.65308,0.86819,0.857235,0.8672,0.882615,0.97123,0.9686375,0.97095,0.9743525000000001,0.68536,0.6826475,0.685,0.6887575,353538.1,349411.225,352030.5,359669.65,52923.2,52658.425,52954.5,53142.5,2280468.3822743674,2095703.7209591775,2264346.8597258516,2561998.4007570734,232954.73069664236,230363.62913120896,232233.10994997923,236442.82877855867,1521359.2445526798,1497547.6243327444,1517530.71116721,1551909.4380818321,38486850.83458358,35526003.270452924,37855240.90204699,42931739.60247871,0.00337,0.0032,0.0034,0.0035,2520.3855251006735,2401.807176342158,2504.0284226948543,2701.6393147778344
16,0.856935,0.845545,0.8558,0.8711075,0.94809,0.9449,0.9478,0.9521075,0.62954,0.6136699999999999,0.6269,0.656565,0.8741199999999999,0.86322,0.8732,0.886825,0.97305,0.9705375,0.97295,0.9756825,0.683285,0.68069,0.68315,0.68641,348535.65,344635.75,347215.5,354129.75,52910.65,52653.8,52933.0,53111.675,2371166.382833056,2171859.219427141,2354896.157717119,2657567.6439727903,230256.3977175004,227667.9072527086,229514.8903633726,233464.10265845826,1568824.4583201658,1544008.7844137435,1564704.6628715685,1599966.969485287,40429470.943164214,37371397.814064614,40211835.40683085,45084162.47902943,0.003255,0.0031,0.0033,0.0034,2517.65018652285,2396.3764750173527,2492.7623002074797,2688.835310730149
17,0.86269,0.8526975,0.86185,0.8770749999999999,0.9476850000000001,0.9448949999999999,0.9473,0.9519650000000001,0.63575,0.62198,0.6303000000000001,0.6637474999999999,0.8797599999999999,0.8701150000000001,0.87945,0.8926449999999999,0.974755,0.9724849999999999,0.9747,0.9772875,0.6814250000000001,0.678675,0.6811,0.685215,344402.55,340672.925,343275.5,349493.55,52876.5,52574.025,52890.5,53107.125,2472735.105160663,2278963.4209137415,2457394.7429207424,2796427.9380582157,228194.45400021394,225834.8767765106,227452.77702216135,231096.14952525683,1622712.777651782,1597993.8377115356,1619906.9288342933,1656114.597757272,42588267.811153874,39344058.75128525,42166577.89831406,47908494.94268971,0.0031600000000000005,0.003,0.0032,0.0033,2517.150840102249,2394.8693033584477,2503.938771720369,2660.5397408071144
18,0.8682000000000001,0.8590125,0.8674,0.8826275,0.9474199999999999,0.9447949999999999,0.9471,0.95197,0.642185,0.6269025,0.6367499999999999,0.67071,0.885135,0.8761875,0.88465,0.8979975,0.9763400000000001,0.9742375,0.97625,0.97884,0.67967,0.6768425,0.679,0.6835825,341070.15,337526.125,340113.5,345720.0,52837.75,52518.05,52835.0,53085.875,2585608.9816079373,2388675.3954539495,2561845.059186451,2942447.191525748,226701.20161102628,224463.0248613633,226141.90162861726,229413.13302338583,1682538.6786561173,1654569.565909083,1680020.3330521202,1719419.2072311707,44955804.3205026,41253304.97201735,43938529.30085239,51037346.16487435,0.003065,0.0029475,0.0031,0.0032,2514.555803682502,2386.9351614341867,2495.567313353646,2674.733033712162
19,0.873685,0.8651025,0.87315,0.88768,0.9473800000000001,0.9447,0.9470000000000001,0.95207,0.649305,0.634695,0.6433,0.6778675,0.890325,0.8819775,0.89005,0.9027499999999999,0.9775600000000001,0.9755849999999999,0.9775,0.9799875,0.68044,0.677285,0.6798,0.68442,338484.75,335130.275,337632.5,342719.55,52781.5,52434.6,52787.0,53062.85,2715353.578062402,2512946.5557864765,2686762.8221643586,3097039.8353908127,225742.48799929125,223810.88014422756,225241.6404668083,228320.24153827125,1748521.3035915755,1716832.8661071402,1748153.619622205,1790654.6725761746,47665756.5052192,43844668.749574326,46676314.188266486,54291769.933460094,0.003735,0.003495,0.0037,0.004005,2516.103699528284,2385.5204970576397,2501.101522052387,2664.492649237952
