ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2,run_id
62,42410,0.9757,0.9569,0.6107,0.8442,0.9641,0.992,0.1199,0.0279,657266.3028543552,8795400.467292031,253522365.01581848,10340272.839825168,11880311.827410508,13938779.150550324,16696932.544673733,20603867.002345175,26005562.65568712,35077538.61278707,54720549.412229955,0.0,4020379.67954801,5327187.284103319,7012804.116317985,9180090.774751574,12353451.501086963,16284491.419644222,21800741.293035716,30291717.55462242,47108762.259929,221530917.84082547,657266.0,125809,103111,32824,0.774,22458007.241747055,20862765.44728248,1598004.8515353787,2763.0570708034584,7875661.0,0.0017,1929,543713.5369304742,33841,25827,25579,150.1328146946793,13109977.312001608,7065,29130,5925,1749.5405744341272,559456308.2512879,1504,48154,1320,1642.926371430153,8
63,42181,0.9764,0.9583,0.6142,0.8488,0.9655,0.9922,0.1167,0.0267,668204.8827410463,9092127.084234145,252212660.7177053,10692888.90011471,12363869.45552745,14599765.232474033,17280526.220355254,21451428.333958372,27081319.83919614,36535013.46543413,56785520.03443876,0.0,4118606.076787232,5549282.447787684,7217852.364245851,9522837.206341282,12794353.125478957,16937826.156508014,22789015.99949335,31583032.62762819,49139876.77051897,219886108.38014588,668205.0,127696,103408,32719,0.7757,23727092.928985793,22091690.71759271,1638124.52323288,2722.311839797518,7621442.0,0.0016,1803,555181.3014069095,33733,25837,25579,154.91215497648528,13810583.798396444,6971,28753,5842,1817.051854200511,599750166.7830527,1477,48818,1298,1651.9869333398872,8
64,41968,0.9767,0.9592,0.6172,0.8506,0.9665,0.9924,0.1159,0.0259,679399.672749933,9449025.576974044,261186664.89018592,10946246.485721596,12941299.307574213,15047188.16760008,17917906.89895424,22390294.97238868,28467728.07257546,38094034.329767935,58772693.690104276,0.0,4277681.485157056,5805590.393937968,7490185.101783634,9931398.955490045,13428974.23731843,17730746.6888006,23879864.023132287,33254214.620178156,51858503.6509791,223819682.88893962,679400.0,129611,103810,32649,0.7779,24857303.050236147,23179579.479258485,1680529.9282350973,2806.3572574362183,7061308.0,0.0015,1680,567275.996256958,33602,25846,25580,159.9238268502436,14517021.325227845,6910,28499,5788,1863.8676703992683,634503481.4757967,1456,49465,1281,1693.1358811169202,8
65,41740,0.9772,0.9602,0.6189,0.8543,0.9677,0.9926,0.1133,0.0249,690875.6104563974,9590597.849483542,257911557.48925894,11270873.420219325,13214866.106826263,15689691.377843793,18654808.59301389,23075311.525060922,29494392.946688734,39447000.991056636,60332220.78473802,0.0,4356685.808376598,5874568.487863865,7675038.16667912,10295151.400436854,13816881.789473979,18303226.648270596,24835597.646215994,34610463.16161338,53739348.337485984,218830629.61697313,690876.0,131555,103458,32537,0.7795,25994066.675179537,24284549.22896504,1712424.7462050302,2907.2999905333345,7038585.0,0.0014,1559,579332.197059613,33499,25855,25580,163.65061948014568,15179485.773606174,6828,28117,5713,1936.6904377857575,680778319.1015648,1413,49486,1244,1715.201297687853,8
66,41515,0.9775,0.9608,0.6209,0.8568,0.9684,0.9927,0.1116,0.0243,702635.7491131605,9813875.635603767,255383500.4449288,11547244.654658228,13771710.349411149,16235298.03987493,19186923.265788633,23959335.450605247,30516533.703611895,40948695.48359016,61939449.03689917,0.0,4452047.757989716,6015174.543731022,7907616.631093836,10630896.371048076,14317804.815825552,19079483.111089315,25763147.847594436,36160457.54951529,55264770.65158317,218392222.58264485,702636.0,133528,103363,32443,0.7815,26922168.590141352,25175711.785170715,1749404.7678088306,2947.962838195988,7404774.0,0.0015,1445,591762.4628305763,33390,25865,25580,165.70899748262227,15929939.198500061,6738,27766,5647,2014.657375774316,714188139.9180331,1387,49732,1216,1703.1674500024367,8
67,41229,0.9779,0.9619,0.6239,0.8596,0.9696,0.9928,0.11,0.0233,714610.9635360069,10015941.041132627,251471332.8486639,11957297.629783295,14325646.603329146,16904924.18574,20059832.369815916,25035157.91873572,31932321.62639701,42950276.15636308,64775006.15916799,0.0,4583584.543675376,6202815.749024939,8299447.406757432,11058243.721823579,15015013.109293854,20032075.217346836,27051981.59626879,37959424.565119416,58172965.1637684,213699809.89294553,714611.0,135530,103461,32333,0.7842,28322658.28345587,26532289.655686647,1793261.1729219435,2892.5451527209193,6492887.0,0.0013,1299,605070.2150768278,33240,25876,25580,166.87396441598412,16813762.944500823,6635,27389,5565,2099.713367863984,765172102.8675667,1354,50196,1188,1746.9009699145415,8
68,41003,0.978,0.9621,0.6255,0.8601,0.97,0.9928,0.1099,0.0229,726892.4205538647,10179247.81556958,244404454.05664217,12271376.625346731,14716254.568183888,17512647.146568373,20767062.20145874,25841470.814524792,33422909.569329873,44994888.54733698,67328865.32570413,0.0,4646018.399740852,6345821.950041379,8628546.05206625,11566463.256385013,15565112.024362864,20879898.859340273,28236599.453136865,39751006.59635311,60527855.867519304,206293679.23655915,726892.0,137562,103268,32249,0.7865,29037324.504721697,27209604.180470116,1830713.0328453162,2992.708593737641,6573775.0,0.0013,1203,617865.5699926123,33135,25889,25580,168.49822922386232,17737900.024339736,6549,27089,5511,2177.643558443947,799074248.4806653,1319,50290,1158,1734.5790412057067,8
69,40721,0.9786,0.9635,0.6279,0.8645,0.9713,0.9931,0.1068,0.0218,739424.548774106,10437103.575589016,248301952.90160808,12588896.060524635,15260612.07812077,18227817.66876259,21612634.679298963,26785845.124868277,34733013.72280522,46812528.84953026,69394854.16384786,0.0,4752998.583031537,6608499.470575406,8901248.820003524,12053992.741188804,16093769.489836803,21639672.57571247,29445686.101135463,41441855.90298076,62504978.315962285,215364888.07941204,739425.0,139625,103418,32176,0.7902,30875736.85127539,29000857.643043965,1877896.1220284496,3016.9137970273773,6312052.0,0.0012,1100,632572.9480005767,32946,25900,25580,170.91748072532383,18608018.32654234,6478,26808,5454,2254.656553144595,860375782.0020175,1297,50710,1142,1693.4024648231418,8
70,40500,0.979,0.9646,0.6304,0.8676,0.9723,0.9933,0.1047,0.0209,752251.0337290212,10824057.494390676,256180170.74310827,13103544.989494087,15872896.852361917,18921544.09048737,22693181.41277138,27945956.827635434,36155590.01063722,48890934.20157008,71862354.17761946,0.0,4864805.367367582,6813885.526303616,9319219.09448301,12660641.87083642,16846115.843302384,22803590.70491203,30901695.089988895,43363135.34261557,65395396.060623094,208696745.35437107,752251.0,141719,103759,32110,0.7928,32700046.066839773,30775824.772518918,1927230.000214556,3008.705893704397,5358698.0,0.001,953,646714.0618129482,32800,25911,25581,172.53161073754669,19583899.738914344,6421,26584,5402,2339.4462927539225,920556234.7583871,1279,51264,1127,1712.11764876649,8
71,40268,0.9792,0.9653,0.6331,0.8689,0.9732,0.9934,0.1042,0.0202,765280.2944967796,11107855.36541625,267703625.6776123,13497723.343599916,16485402.5818723,19821286.441041358,23519617.478611916,29194721.27935779,37913022.30351789,51331051.89832255,75803339.3498066,0.0,4904963.1988364225,7072848.100864075,9644335.039950008,13150838.021182166,17777151.076297753,23700477.622236438,32417826.911139164,45609203.68349883,69018113.15017816,212603444.47384417,765280.0,143844,104054,32040,0.7957,34238883.713211834,32264401.864609946,1977512.5599376154,3030.7113357212775,5317155.0,0.001,845,661328.3276239457,32649,25920,25581,175.81899201930784,20608218.32836166,6361,26331,5352,2417.1319333589663,974603166.9382445,1258,51803,1107,1719.5330166460162,8
