ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2026,0.35923459730474694,0.640765402695253,4.72515867713586e-17
2027,0.3772673954404414,0.6227326045595586,1.1331524626658127e-16
2028,0.3907945825528509,0.6092054174471492,5.5471182697843475e-17
2029,0.40956957168933245,0.5904304283106677,2.026534442671468e-17
2030,0.4290229434208952,0.5709770565791049,-6.308368543546874e-17
2031,0.44877419406122077,0.5512200415315839,5.7644071954125815e-06
2032,0.4669499590098623,0.5330446421111581,5.398878979658876e-06
2033,0.48567891689468123,0.5143210597877651,2.3317553718110788e-08
2034,0.5020725810841119,0.4979225391279161,4.879787972063083e-06
2035,0.5244587363619558,0.47554126363804416,1.8744282516430676e-16
2036,0.5425543914403017,0.45744560855969835,-3.712603595620462e-17
2037,0.5542458122219286,0.44575418777807135,8.802675914981184e-17
2038,0.5695981212249357,0.4304018787750643,-3.737581774677133e-17
2039,0.5823379405972247,0.4176620410850312,1.8317743926077853e-08
2040,0.6016446631038679,0.39835531940963836,1.7486493831394198e-08
2041,0.6134942476825721,0.38650575231742806,6.948418827318082e-17
2042,0.6266717248079023,0.3733253207357834,2.9544563145546986e-06
2043,0.64165846387215,0.3583415361278499,-1.3815350559050676e-16
2044,0.6529942838631104,0.34700571613688974,-4.5335325461808497e-17
2045,0.667372863880629,0.33262713611937134,-2.640440989896773e-16
2046,0.6799061681239084,0.32009383187609164,-1.680769242203541e-17
2047,0.6928925451435742,0.3071074548564257,2.2576145808178795e-17
2048,0.7045469020632241,0.29545309793677615,3.285246271748847e-17
2049,0.7154058797911748,0.28459412020882513,2.6394522292013425e-16
2050,0.7274653022653469,0.2725346977346532,6.551841916107452e-17
2051,0.736576131184934,0.26342386881506585,2.7953913951904975e-17
2052,0.7483944269063628,0.25160557309363735,-9.584554782547005e-17
2053,0.7597804157682353,0.24021958423176476,-1.0312060954239874e-16
2054,0.7694091027553873,0.23059089724461235,6.467430670773389e-17
2055,0.7797116930779928,0.22028830692200702,3.481763572223372e-17
2056,0.7910077137621527,0.2089922862378474,-4.785234432268634e-17
2057,0.7990002946644061,0.20099970533559403,-6.154582442575219e-17
2058,0.8094035514254009,0.1905964485745991,5.908532056822465e-17
2059,0.8134816361739193,0.18651836382608084,-6.723033197421812e-17
2060,0.8226459877214661,0.17735401227853365,5.066171221921563e-17
2061,0.8298531215082253,0.17014687849177473,5.654856918445759e-17
2062,0.8375543514493856,0.16244564855061405,8.007390393098169e-17
2063,0.8442593043525596,0.15573999926416324,6.963832774989323e-07
2064,0.8499005762877577,0.15007692579398405,2.2497918258212545e-05
2065,0.8551269415167871,0.1448730584832128,-7.057039834431686e-17
2066,0.8617442764090174,0.13825572359098254,-1.2246592253649972e-16
2067,0.8676006043711371,0.13239934645429155,4.9174571364566555e-08
2068,0.8748273457136481,0.12517216172726195,4.92559089868735e-07
2069,0.8798917445586746,0.12010825544132568,-2.904019683709029e-17
2070,0.8851425957022467,0.11485698175747142,4.225402817565717e-07
2071,0.890171044126191,0.1098289558738089,9.537210143156322e-17
2072,0.89597278812587,0.10402721187413032,-1.0759817498525903e-16
2073,0.9000150402374292,0.0999849597625707,5.466515539902803e-17
2074,0.9034080621823144,0.09659193781768564,3.518500283423869e-18
2075,0.907954811732617,0.09204518826738337,-1.9565932060658422e-16
2076,0.9128314383724212,0.0871685616275788,-7.278537984481704e-18
2077,0.9158322105222524,0.08416778947774743,1.019217595649686e-17
2078,0.9205240938818272,0.07947590611817264,3.943786700117327e-17
2079,0.9235301542128483,0.0764698457871516,-1.5584350727939015e-17
2080,0.926879401906373,0.07312059809362685,2.4605964282834188e-17
2081,0.9301475669509366,0.06985243304906333,7.197137293540916e-17
2082,0.9336328663735785,0.06636713362642195,-9.438909417490366e-17
2083,0.9376312823124817,0.06236871768751828,8.923037104947842e-17
2084,0.9404141620503489,0.05958583794965115,1.4401630141475883e-17
2085,0.9430802235600539,0.056919776439945814,1.2491968323571364e-16
2086,0.9454585270193115,0.054541472980688385,2.856587263221652e-16
2087,0.947202404788669,0.05279759521133113,-1.4544415142921322e-16
2088,0.9497063446605889,0.05029365533941145,-1.3748999808245724e-16
2089,0.9522566747022114,0.047743325297788124,2.697887892646658e-16
2090,0.9547990250013974,0.045193116751353644,7.858247249012685e-06
2091,0.9571703019925282,0.04282262843380823,7.069573663311421e-06
2092,0.9593029892725262,0.040690223281343765,6.787446130005289e-06
2093,0.9604965924536979,0.03949693839596986,6.4691503322961994e-06
2094,0.9621463424376883,0.037847529923972216,6.127638339498802e-06
2095,0.9640463740849349,0.03595362591506513,-8.901118343855858e-17
2096,0.9659957902335659,0.03400420976643422,-1.7266914848692725e-16
2097,0.9671678902672285,0.032832109732771536,-3.70496507683914e-18
2098,0.9687889727860419,0.03121102721395811,4.4313204112486456e-17
2099,0.9704472692441778,0.029552730755822154,1.2762636352904682e-16
2100,0.9717924190853334,0.028207580914666366,9.131170842378849e-17
2101,0.9729354862260907,0.02706432237841195,1.9139549761918021e-07
2102,0.9741996991754596,0.025800300824540146,1.8615903745079202e-16
2103,0.9754024489050102,0.02459755109498992,1.6407579282602918e-16
2104,0.9764480184580768,0.02355198154192339,-1.0909439156833877e-17
2105,0.9775708200202007,0.022425611772150137,3.568207649315755e-06
2106,0.9787444843102706,0.021255496761695677,1.8928033763518748e-08
2107,0.9799155934708299,0.02008440652917022,-1.9207315465443128e-16
2108,0.9807263883898983,0.019273611610101764,9.348619915114414e-17
2109,0.981663761464484,0.018336238535515935,2.1493533440196934e-17
2110,0.9826276183533672,0.017372352497715904,2.914891690052434e-08
2111,0.9833273560661996,0.016672643933800878,4.260420713905406e-17
2112,0.9841073481261429,0.015892651873857036,1.2724955409077593e-16
2113,0.9853272773258693,0.014672722674130811,1.6802327018160475e-16
2114,0.985626873215278,0.014373126784721968,1.445338182684486e-17
2115,0.9863248505673711,0.013675149432628604,1.8310868652115077e-16
2116,0.9870306246900109,0.01296906885779783,3.064521909747018e-07
2117,0.9876710488420969,0.012328660839400553,2.9031850259951805e-07
2118,0.9884173503547075,0.011582649645292311,3.570245345903952e-17
2119,0.9889776970880708,0.011022302896989912,1.493954698853919e-11
2120,0.9895053646374182,0.010494635362582065,-3.603814010848642e-17
2121,0.9899357316347583,0.010064033798379023,2.3456686268409352e-07
2122,0.9905100122988545,0.009489765392061358,2.223090840678388e-07
2123,0.9909180721078339,0.009081717112870952,2.107792954906107e-07
2124,0.9914280056330136,0.008571794764385333,1.9960260107838247e-07
2125,0.9917796290336185,0.008220359490441758,1.1475939801684617e-08
2126,0.9923516059907319,0.007648394009268291,1.2067283446871592e-16
