ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2026,0.139572395193521,0.374551998159876,0.48587560664660306
2027,0.1567704805335402,0.395233302065554,0.4479962174009057
2028,0.19794227086597765,0.4334161934739541,0.3686415356600683
2029,0.16271695565241712,0.34391820149353575,0.49336484285404697
2030,0.15662998504646777,0.34513262735219025,0.49823738760134195
2031,0.16356310798740575,0.3355399957617552,0.5008968962508391
2032,0.17619951827685798,0.3052035494040687,0.5185969323190734
2033,0.15224790981290784,0.27556506620541393,0.5721870239816782
2034,0.19734870945339084,0.3337630128443415,0.4688882777022677
2035,0.2168598995147445,0.32761971699451736,0.45552038349073815
2036,0.18920236557835038,0.27321304034329735,0.5375845940783522
2037,0.18115808343407108,0.2548318389513792,0.5640100776145498
2038,0.16409561903988024,0.2267212289439071,0.6091831520162126
2039,0.1948026601407897,0.23150176752053392,0.5736955723386764
2040,0.21883820879475743,0.2756610628427508,0.5055007283624918
2041,0.21687227372623663,0.2677190612691504,0.5154086650046129
2042,0.17595220135266557,0.19567251516876735,0.6283752834785669
2043,0.2287519609222168,0.2428856628593765,0.5283623762184069
2044,0.234975863199859,0.24425808436124857,0.5207660524388925
2045,0.20559271621665814,0.2017766968119397,0.5926305869714023
2046,0.2288288352164117,0.19255451507860732,0.578616649704981
2047,0.26031405034861793,0.23248510156417904,0.5072008480872029
2048,0.22966383908150864,0.19270469625127148,0.5776314646672198
2049,0.2751070693371149,0.2143329254024824,0.5105600052604027
2050,0.2689088984309965,0.2035656106462331,0.5275254909227703
2051,0.3030693342972473,0.22101265391311248,0.47591801178964016
2052,0.3182749399144869,0.22371992720442305,0.4580051328810901
2053,0.2905256439764348,0.18827623495256782,0.5211981210709975
2054,0.29554727063301384,0.17304197261467263,0.5314107567523136
2055,0.3052516203075385,0.17421705960287096,0.5205313200895906
2056,0.3401375917360283,0.18370853965233216,0.4761538686116396
2057,0.2260180919157702,0.1251407818019434,0.6488411262822865
2058,0.3400900117662335,0.17268792942918648,0.48722205880458025
2059,0.3726628626758404,0.19188261646335672,0.43545452086080283
2060,0.3431766996714015,0.15385124629407337,0.5029720540345252
2061,0.34987643415342506,0.16692803343681717,0.48319553240975777
2062,0.3033846606340199,0.12651063291591674,0.5701047064500634
2063,0.34039853331973297,0.15316145279165944,0.5064400138886077
2064,0.3666041289321156,0.146510439479134,0.4868854315887505
2065,0.3919163527042083,0.15307390936019888,0.4550097379355929
2066,0.3609188189662236,0.12187200747237058,0.5172091735614057
2067,0.39360204375227004,0.1301460983697356,0.4762518578779943
