tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Estado;23;ICMS;2024;19942107760,57;20202084845,36;;;20202084845,36
Estado;23;ICMS;2025;21227268364,23;21447585488,26;;;21447585488,260002
Estado;23;LC194;2023;;;;;484730000,0
Estado;23;LC194;2025;;;;;161566666,67
Estado;24;ICMS;2019;5587326047,52;5739341693,43;;;5739341693,43
Estado;24;ICMS;2020;5735650889,35;5881117294,78;;;5881117294,780001
Estado;24;ICMS;2021;6657216966,55;6827095461,1;;;6827095461,1
Estado;24;ICMS;2022;7067552568,99;7185173926,72;;;7185173926,72
Estado;24;ICMS;2023;8230958416,29;8274531189,36;;;8274531189,36
Estado;24;ICMS;2024;8414485940,02;8459893757,36;;;8459893757,36
Estado;24;ICMS;2025;9383667432,4;9448358870,57;;;9448358870,57
Estado;24;LC194;2023;;;;;256669833,88
Estado;25;ICMS;2019;5729587431,77;5883211654,29;;;5883211654,29
Estado;25;ICMS;2020;5938652064,75;6099027761,84;;;6099027761,84
Estado;25;ICMS;2021;7304599114,62;7495184696,4;;;7495184696,400001
Estado;25;ICMS;2022;7492969227,48;7672335351,13;;;7672335351,129999
Estado;25;ICMS;2023;7915047895,58;8045036216,08;;;8045036216,08
Estado;25;ICMS;2024;9587948823,7;9713259973,35;;;9713259973,35
Estado;25;ICMS;2025;10419713017,45;10554097792,24;;;10554097792,24
Estado;25;LC194;2023;;;;;403300000,0
Estado;26;ICMS;2019;16935116110,69;17294848288,56;;;17294848288,559998
Estado;26;ICMS;2020;16880888346,31;17277441458,3;;;17277441458,3
Estado;26;ICMS;2021;20685147970,21;21029665934,84;;;21029665934,839996
Estado;26;ICMS;2022;20826564777,47;21348483645,26;;;21348483645,260002
Estado;26;ICMS;2023;21015434764,59;21327078191,76;;;21327078191,76
Estado;26;ICMS;2024;25908490948,15;26156973043,44;;;26156973043,440002
Estado;26;ICMS;2025;27414254125,54;27634962927,91;;;27634962927,91
Estado;26;LC194;2023;;;;;528159577,08
Estado;27;ICMS;2019;4226777273,03;4524018869,88;;;4524018869,88
Estado;27;ICMS;2020;4383218946,36;4694975122,27;;;4694975122,27
Estado;27;ICMS;2021;5415183504,77;5814528595,97;;;5814528595,97
Estado;27;ICMS;2022;5821913159,86;6278856329,98;;;6278856329,9800005
Estado;27;ICMS;2023;6816688921,5;7338987309,23;;;7338987309,23
Estado;27;ICMS;2024;7905240380,21;8488852336,33;;;8488852336,33
Estado;27;ICMS;2025;8393295012,36;9008104970,86;;;9008104970,86
