ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2026,0.19168625006469683,0.3469031351136613,0.46141061482164186
2027,0.22564388251944317,0.38580627560488434,0.38854984187567254
2028,0.24877521477270087,0.3829899596203511,0.3682348256069482
2029,0.23152970031542824,0.3323080634751152,0.4361622362094565
2030,0.19328120136397578,0.25598084263802,0.5507379559980041
2031,0.23678789759478028,0.2987567051090583,0.4644553972961614
2032,0.18939596815841117,0.235543662132266,0.5750603697093226
2033,0.25094098714581287,0.28210663676574915,0.4669523760884381
2034,0.3044093115990073,0.3152195197731906,0.38037116862780224
2035,0.27039323556065636,0.271738147865925,0.4578686165734187
2036,0.2584753405445069,0.23501110991592772,0.5065135495395653
2037,0.2340407144724334,0.21992330288529033,0.5460359826422764
2038,0.2627743230091361,0.2263485819608419,0.510877095030022
2039,0.26350072776762684,0.21334405211233812,0.5231552201200352
2040,0.2929356840660837,0.23218647197599168,0.47487784395792487
2041,0.2809411280055295,0.21591990543763653,0.5031389665568341
2042,0.28302445746363103,0.20261731091514434,0.5143582316212245
2043,0.2713543904694378,0.18954253496626527,0.5391030745642968
2044,0.33436167753933727,0.2213865087394825,0.44425181372118033
2045,0.2890096899650805,0.16757824863707,0.5434120613978497
2046,0.331903249992972,0.2023311115135432,0.46576563849348485
2047,0.3926283664921243,0.2153441016925991,0.3920275318152765
2048,0.3496409182418384,0.17431889135973122,0.4760401903984305
2049,0.4176089253279321,0.20591540168320527,0.3764756729888627
2050,0.41198380781916416,0.1948628844540049,0.3931533077268309
2051,0.3165424494498012,0.1382235010387192,0.5452340495114797
2052,0.3987170190048975,0.1594687954170796,0.4418141855780229
2053,0.3797497670991536,0.1455997251500101,0.4746505077508364
2054,0.3137256336759071,0.13269969366003637,0.5535746726640566
2055,0.42656574273656,0.15285038913713725,0.4205838681263028
2056,0.3621161481696946,0.11694643716037299,0.5209374146699324
2057,0.3865521919657778,0.13161149829527644,0.48183630973894587
2058,0.4397774460585513,0.1444190946404084,0.4158034593010403
2059,0.4344486363482814,0.13085891263668287,0.43469245101503584
2060,0.43100157700080144,0.12057750206628408,0.4484209209329144
2061,0.41314612721506955,0.11748479101016558,0.46936908177476494
2062,0.40563838867514573,0.11563674453892855,0.4787248667859259
2063,0.4623938855957224,0.10525263289927035,0.43235348150500713
2064,0.43223836512225916,0.11013288149183624,0.4576287533859046
2065,0.4045464330292118,0.09792870476156042,0.4975248622092277
2066,0.4608614605006856,0.10438488609962447,0.43475365339968985
2067,0.45134315345805975,0.09542672488077482,0.45323012166116533
2068,0.4873219604074985,0.10372497454551664,0.4089530650469848
2069,0.42109972270267415,0.09117867700809738,0.48772160028922845
2070,0.4617902834392725,0.08885427764855497,0.44935543891217267
2071,0.46520331672737875,0.08677475321139823,0.448021930061223
2072,0.4258609304357018,0.07675099171978071,0.49738807784451755
2073,0.4501876880193888,0.08005083896250491,0.46976147301810606
2074,0.5569188039151143,0.09030856978680311,0.35277262629808265
2075,0.483434326842004,0.07879806599138982,0.4377676071666061
2076,0.5063839918667946,0.07762526366765171,0.41599074446555384
2077,0.5315336486010936,0.07095725048024296,0.39750910091866365
2078,0.530820481038685,0.06775511045929733,0.4014244085020178
2079,0.5857164584278723,0.07354056665403644,0.3407429749180914
2080,0.5413680676284117,0.06192712531198612,0.3967048070596023
2081,0.503735978029496,0.060725252239850015,0.4355387697306539
2082,0.6500096253889363,0.08661234277075062,0.26337803184031316
2083,0.569053364984258,0.062066077141008535,0.36888055787473334
2084,0.5476702772496042,0.06001262594132084,0.39231709680907506
2085,0.6283011640738533,0.06850994321982354,0.3031888927063232
2086,0.5871588414729347,0.0547996223673804,0.35804153615968465
2087,0.6258793021486296,0.05646095612040541,0.31765974173096506
2088,0.5708419158350192,0.05256432315272996,0.37659376101225095
2089,0.5344752252013936,0.042337278086930746,0.4231874967116757
2090,0.5709484238284184,0.04635686181467895,0.38269471435690255
2091,0.7082344061554076,0.05357523812925167,0.23819035571534072
2092,0.7087133191507807,0.06125098229412744,0.2300356985550916
2093,0.6897598511525852,0.05323461954773143,0.2570055292996834
2094,0.566041955501719,0.04438949286144665,0.38956855163683424
2095,0.6747153896330801,0.044542648348532256,0.28074196201838786
2096,0.6860194281256918,0.045523893239792404,0.26845667863451605
2097,0.6956349754506964,0.04587575346321836,0.25848927108608527
2098,0.7069479261722974,0.041823222657843814,0.25122885116985905
2099,0.7044412687517262,0.042681290730760026,0.2528774405175136
2100,0.5737538211512597,0.03265148541098791,0.3935946934377525
2101,0.5938998242936989,0.03834984479118944,0.36775033091511167
2102,0.6454279796694792,0.031406173571995655,0.32316584675852505
2103,0.6417567167375806,0.03463953745124539,0.32360374581117407
2104,0.6830633613107864,0.033913488276657175,0.2830231504125567
2105,0.6242609949074874,0.030784604371748476,0.34495440072076405
2106,0.6934638450898636,0.03404885551177216,0.272487299398364
2107,0.6462311537864841,0.028235069915720803,0.32553377629779506
2108,0.6532846176550894,0.029252343743748487,0.3174630386011623
2109,0.7102158825742706,0.02795689215633763,0.26182722526939195
2110,0.7637037209223899,0.03140912168360627,0.20488715739400373
2111,0.6292543196142297,0.026749034884892327,0.3439966455008779
2112,0.6845010119500096,0.02391342172262537,0.291585566327365
2113,0.7451378641188228,0.025137399332746228,0.2297247365484311
2114,0.600278475059738,0.020468610814580606,0.37925291412568174
2115,0.690267196759558,0.022623866314238062,0.28710893692620404
2116,0.7020573436868819,0.024173352575053132,0.27376930373806496
2117,0.7540618759491404,0.024500160180850276,0.2214379638700091
2118,0.7655885476456297,0.022735109344265553,0.2116763430101047
2119,0.6457401185066031,0.01672065464375889,0.3375392268496382
2120,0.6994628058805928,0.020175879089259552,0.28036131503014783
2121,0.7940735592083173,0.020601773965335506,0.18532466682634718
2122,0.7535820145913587,0.018099381605692768,0.2283186038029487
2123,0.7612478223523026,0.019823953334169593,0.21892822431352787
2124,0.7449905064945154,0.01605171348017414,0.2389577800253105
2125,0.7961203337609251,0.02002818395170114,0.183851482287374
2126,0.7501049055154035,0.01586710483205176,0.23402798965254457
