ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2026,0.1893298068045723,0.35470778647094214,0.4559624067244856
2027,0.19423189446794054,0.33973453326914105,0.46603357226291836
2028,0.23145785388876622,0.3821925198376269,0.38634962627360675
2029,0.22612729326632758,0.34613411729122767,0.42773858944244486
2030,0.24610231599086455,0.33607994511131334,0.41781773889782214
2031,0.24567709294149623,0.3146082203693718,0.439714686689132
2032,0.23523820360127048,0.27767691287618995,0.4870848835225397
2033,0.2613464727445695,0.29335034029190993,0.44530318696352045
2034,0.22132164128108134,0.251483101692956,0.5271952570259628
2035,0.3187583460563668,0.3298383057656623,0.35140334817797075
2036,0.25334272156186843,0.23429935555288636,0.5123579228852452
2037,0.28387036639267166,0.25717265882470897,0.45895697478261943
2038,0.2909160631417206,0.23567429723161568,0.4734096396266638
2039,0.32133842530061885,0.25479204158257085,0.42386953311681025
2040,0.27958372320397906,0.23120636517151,0.48920991162451105
2041,0.32098250642100484,0.2297001534907394,0.4493173400882558
2042,0.3267600682429812,0.20471372809459612,0.4685262036624228
2043,0.3354561934826964,0.20782649702649772,0.45671730949080586
2044,0.3103430689673704,0.18098650328323718,0.5086704277493925
2045,0.31352645309259397,0.17035768314107363,0.5161158637663323
2046,0.3506569631876087,0.1880500829316044,0.46129295388078695
2047,0.3664384120550933,0.19390357939332276,0.43965800855158416
2048,0.34004994146302947,0.1680433746873035,0.49190668384966696
2049,0.33973681406544803,0.16609175285417463,0.4941714330803773
2050,0.2964092767749975,0.1388890445805114,0.5647016786444912
2051,0.38255582806918453,0.1688981301843721,0.4485460417464433
2052,0.33228781242881095,0.14348741268933737,0.5242247748818518
2053,0.4019422518484366,0.15392796193847275,0.4441297862130908
2054,0.43503102522360154,0.1656093009257548,0.39935967385064364
2055,0.49501378432831733,0.18380428703186852,0.32118192863981415
2056,0.3954717167919692,0.14086273962158777,0.463665543586443
2057,0.3685795714092726,0.12208487823408147,0.5093355503566459
2058,0.42503106529518414,0.12262574087936454,0.45234319382545135
2059,0.4650818954668438,0.1303540279579419,0.40456407657521437
2060,0.3903575273921145,0.10257083931099631,0.5070716332968893
2061,0.406084805188819,0.10531898520443478,0.4885962096067462
2062,0.43676890268153373,0.11071550766317734,0.45251558965528904
2063,0.40321685055981776,0.09324819470361208,0.5035349547365703
2064,0.42880613340111906,0.10664983085506435,0.4645440357438167
2065,0.3594267150267637,0.07888607426320407,0.5616872107100321
2066,0.4605722278804589,0.10699216298124892,0.43243560913829227
2067,0.39253594493524707,0.08056585503256156,0.5268982000321915
2068,0.5075369224210833,0.10723610541133947,0.38522697216757706
2069,0.4075060363274507,0.0820364027917723,0.5104575608807772
2070,0.4552264234074549,0.07898475743165558,0.4657888191608897
2071,0.48598796711753206,0.08689987657122242,0.42711215631124577
2072,0.54023988150168,0.09116737594284906,0.36859274255547114
2073,0.42595520219109695,0.07016906977116563,0.5038757280377373
2074,0.520428762142457,0.08316499823377867,0.3964062396237642
2075,0.4639151136449567,0.0730135248008062,0.46307136155423734
2076,0.5168052491550058,0.07280462711260291,0.41039012373239153
2077,0.5583342400544757,0.07638742888534743,0.3652783310601769
2078,0.5777809349204488,0.08018362715920586,0.34203543792034535
2079,0.5292378495954804,0.05960279837842007,0.4111593520260995
2080,0.5906419939148762,0.06970960243644352,0.33964840364868043
2081,0.5554750978249169,0.06226944795623351,0.38225545421884954
2082,0.5060425140217657,0.054375069835465716,0.43958241614276866
2083,0.647404483815734,0.06786937261148125,0.2847261435727849
2084,0.6011742465696454,0.06454087201997256,0.33428488141038215
2085,0.4932969392921903,0.0426033655577529,0.46409969515005683
2086,0.6803880295219502,0.06180405765069084,0.2578079128273591
2087,0.636497481523604,0.05835688814126933,0.3051456303351269
2088,0.6297074165474259,0.051869371203763844,0.3184232122488105
2089,0.49843251672093114,0.03707628900724745,0.46449119427182134
2090,0.623778441798791,0.048383200248086865,0.32783835795312216
2091,0.6417160402114658,0.051529243044311356,0.3067547167442227
2092,0.5357126033803291,0.042840581212409995,0.42144681540726087
2093,0.5430838459162435,0.04209311369798557,0.4148230403857706
2094,0.6187650839661525,0.04747699127516112,0.3337579247586865
2095,0.7153516862006902,0.04973186807717846,0.23491644572213136
2096,0.6698702403329708,0.0455875979289023,0.28454216173812696
2097,0.6702607398745586,0.039470483079122085,0.2902687770463193
2098,0.666205935247632,0.036831547239366116,0.2969625175130021
2099,0.71121762067788,0.039894499032282475,0.2488878802898376
2100,0.6450180702415207,0.032439317807297315,0.32254261195118217
2101,0.6575141595115597,0.03648855669319735,0.3059972837952431
2102,0.6643282580096633,0.03165112135656616,0.30402062063377044
2103,0.7162274854900513,0.035635564782542865,0.24813694972740577
2104,0.6971198302074387,0.0313632772941506,0.27151689249841077
2105,0.6903840198526238,0.030327912785759952,0.27928806736161627
2106,0.6613763975476087,0.02748467489716137,0.31113892755523004
2107,0.6068003937623083,0.02114269213640543,0.3720569141012862
2108,0.7613099284828994,0.02867022098576418,0.21001985053133657
2109,0.7468286565149231,0.02862554113202488,0.22454580235305227
